score	atom_pair_constraint	rms_core_low	description
-219.081	-85.735	3.043	S_0029_1_0001
-209.767	-76.990	2.728	S_0030_0001
-223.688	-87.668	2.537	S_0030_1_0001
-214.488	-82.227	3.456	S_0031_0001
-202.276	-85.153	3.195	S_0031_1_0001
-217.845	-82.448	1.546	S_0032_0001
-222.404	-81.265	2.718	S_0032_1_0001
-209.945	-76.918	3.483	S_0033_0001
-199.937	-84.469	3.345	S_0033_1_0001
-216.445	-82.372	2.986	S_0034_0001
-207.852	-78.502	3.131	S_0034_1_0001
-227.881	-76.593	2.416	S_0035_0001
-232.641	-83.167	1.142	S_0035_1_0001
-213.556	-84.883	1.762	S_0036_0001
-232.903	-84.443	2.408	S_0036_1_0001
-216.424	-88.719	2.797	S_0037_0001
-219.876	-85.988	2.986	S_0037_1_0001
-217.070	-85.858	2.455	S_0038_0001
-226.265	-88.394	1.667	S_0038_1_0001
-220.546	-85.901	4.934	S_0039_0001
-214.565	-85.692	2.617	S_0039_1_0001
-210.221	-85.608	3.210	S_0040_0001
-219.300	-82.415	2.431	S_0040_1_0001
-214.747	-80.864	2.017	S_0041_0001
-206.307	-81.898	3.456	S_0041_1_0001
-212.905	-79.725	3.300	S_0042_0001
-217.232	-77.410	3.532	S_0042_1_0001
-227.542	-84.218	2.586	S_0043_0001
-240.725	-90.220	5.825	S_0043_1_0001
-217.971	-83.993	2.080	S_0044_0001
-222.792	-85.544	2.103	S_0044_1_0001
-221.379	-83.436	2.195	S_0045_0001
-217.897	-78.623	4.580	S_0045_1_0001
-223.418	-83.285	1.371	S_0046_0001
-199.319	-79.899	2.180	S_0046_1_0001
-228.506	-91.863	2.180	S_0047_0001
-206.649	-87.018	2.692	S_0047_1_0001
-217.632	-87.626	2.627	S_0048_0001
-217.782	-91.784	2.640	S_0048_1_0001
-221.094	-81.302	1.814	S_0049_0001
-204.328	-78.630	1.572	S_0049_1_0001
-188.803	-74.884	3.377	S_0050_0001
-226.650	-86.849	2.811	S_0050_1_0001
-232.689	-83.839	1.211	S_0051_0001
-213.909	-80.512	1.457	S_0051_1_0001
-213.494	-85.003	2.627	S_0052_0001
-207.916	-85.174	3.023	S_0052_1_0001
-204.603	-89.005	5.942	S_0053_0001
-212.983	-86.282	2.146	S_0053_1_0001
-220.523	-84.806	4.201	S_0054_0001
-206.022	-84.333	3.655	S_0054_1_0001
-208.348	-85.568	3.252	S_0055_0001
-218.560	-82.941	2.093	S_0055_1_0001
-212.317	-83.649	3.340	S_0056_0001
-225.836	-85.797	1.243	S_0056_1_0001
-231.455	-87.479	4.065	S_0057_0001
-214.771	-81.277	3.349	S_0057_1_0001
-225.606	-86.882	4.758	S_0058_0001
-202.527	-76.290	2.815	S_0058_1_0001
-197.300	-76.900	3.244	S_0059_0001
-215.410	-83.321	3.064	S_0059_1_0001
-210.146	-86.782	2.493	S_0060_0001
-198.846	-80.213	1.948	S_0060_1_0001
-213.740	-83.126	2.887	S_0061_0001
-213.194	-85.134	2.702	S_0061_1_0001
-213.670	-87.062	3.259	S_0062_0001
-219.754	-86.483	6.662	S_0062_1_0001
-210.148	-76.555	1.824	S_0063_0001
-217.345	-88.201	2.407	S_0063_1_0001
-215.393	-85.279	2.764	S_0064_0001
-212.558	-86.094	2.305	S_0064_1_0001
-199.813	-84.837	2.594	S_0065_0001
-213.482	-85.722	2.646	S_0065_1_0001
-209.431	-86.317	3.370	S_0066_0001
-217.026	-84.380	2.533	S_0066_1_0001
-209.908	-82.506	2.126	S_0067_0001
-227.964	-83.071	2.267	S_0067_1_0001
-217.665	-86.477	2.666	S_0068_0001
-213.406	-84.555	3.101	S_0068_1_0001
-214.503	-81.219	2.537	S_0069_0001
-206.172	-82.985	4.011	S_0069_1_0001
-230.346	-90.073	1.788	S_0070_0001
-204.119	-84.329	2.931	S_0070_1_0001
-215.743	-77.748	2.484	S_0071_0001
-220.136	-85.037	3.285	S_0071_1_0001
-200.073	-81.619	5.084	S_0072_0001
-214.086	-83.848	3.931	S_0072_1_0001
-208.047	-92.466	2.933	S_0073_0001
-221.468	-87.926	2.292	S_0073_1_0001
-229.308	-82.957	1.888	S_0074_0001
-220.127	-86.948	1.215	S_0074_1_0001
-214.346	-86.551	2.147	S_0075_0001
-201.989	-87.585	8.151	S_0075_1_0001
-226.172	-87.706	3.602	S_0076_0001
-216.996	-84.847	2.310	S_0076_1_0001
-208.629	-81.016	3.338	S_0077_0001
-227.318	-83.209	1.995	S_0077_1_0001
-220.138	-85.064	4.487	S_0078_0001
-202.117	-90.476	3.748	S_0078_1_0001
-217.635	-84.001	3.337	S_0079_0001
-200.710	-79.168	2.047	S_0079_1_0001
-210.298	-86.636	2.866	S_0080_0001
-215.513	-80.725	2.742	S_0080_1_0001
-220.209	-84.951	2.942	S_0081_0001
-209.279	-85.257	1.430	S_0081_1_0001
-208.131	-87.731	4.541	S_0082_0001
-209.159	-86.767	5.284	S_0082_1_0001
-221.975	-82.491	1.778	S_0083_0001
-215.739	-84.613	2.654	S_0083_1_0001
-207.503	-77.551	4.503	S_0084_0001
-228.287	-89.910	2.079	S_0084_1_0001
-211.044	-85.695	4.485	S_0085_0001
-202.417	-82.239	4.049	S_0085_1_0001
-231.740	-82.006	1.868	S_0086_0001
-198.950	-78.036	2.241	S_0086_1_0001
-221.353	-87.363	2.012	S_0087_0001
-218.398	-83.839	2.975	S_0087_1_0001
-222.664	-87.159	2.500	S_0088_0001
-222.337	-82.618	1.510	S_0088_1_0001
-223.883	-86.710	2.184	S_0089_0001
-216.002	-78.542	1.627	S_0089_1_0001
-206.211	-81.419	6.085	S_0090_0001
-220.710	-80.357	1.393	S_0090_1_0001
-213.572	-86.912	3.778	S_0091_0001
-214.066	-79.786	3.136	S_0091_1_0001
-212.601	-84.012	2.847	S_0092_0001
-202.354	-85.747	1.868	S_0092_1_0001
-204.991	-82.324	3.502	S_0093_0001
-225.448	-85.293	2.269	S_0093_1_0001
-221.804	-92.562	3.393	S_0094_0001
-218.847	-86.341	2.087	S_0094_1_0001
-221.041	-83.482	4.916	S_0095_0001
-224.450	-88.230	2.321	S_0095_1_0001
-213.606	-78.555	4.028	S_0096_0001
-212.572	-77.419	2.795	S_0096_1_0001
-198.667	-82.168	2.656	S_0097_0001
-214.202	-86.113	2.968	S_0097_1_0001
-219.121	-88.140	2.939	S_0098_0001
-208.672	-88.178	2.871	S_0098_1_0001
-217.985	-84.429	3.240	S_0099_0001
-212.789	-83.233	2.203	S_0099_1_0001
-216.872	-83.997	3.476	S_0100_0001
-216.727	-85.415	2.539	S_0100_1_0001
-221.643	-81.449	1.475	S_0101_0001
-218.927	-86.314	2.625	S_0101_1_0001
-217.346	-84.879	3.439	S_0102_0001
-210.623	-86.941	3.935	S_0102_1_0001
-216.553	-86.271	2.225	S_0103_0001
-218.245	-85.245	3.501	S_0103_1_0001
-226.073	-85.162	2.946	S_0104_0001
-210.037	-84.600	3.135	S_0104_1_0001
-203.434	-84.722	2.864	S_0105_0001
-206.559	-81.149	3.125	S_0105_1_0001
-227.002	-82.524	4.956	S_0106_0001
-210.708	-84.895	3.793	S_0106_1_0001
-214.736	-85.780	3.303	S_0107_0001
-218.897	-85.315	2.828	S_0107_1_0001
-237.094	-87.482	2.041	S_0108_0001
-207.766	-81.994	2.193	S_0108_1_0001
-211.455	-82.014	2.964	S_0109_0001
-221.548	-93.169	6.795	S_0109_1_0001
-222.215	-86.221	2.938	S_0110_0001
-211.198	-80.976	2.610	S_0110_1_0001
-221.623	-81.988	2.164	S_0111_0001
-218.647	-84.782	1.965	S_0111_1_0001
-217.826	-86.015	2.389	S_0112_0001
-218.915	-84.758	0.937	S_0112_1_0001
-210.300	-85.297	2.930	S_0113_0001
-214.495	-85.214	2.815	S_0113_1_0001
-229.624	-85.460	1.010	S_0114_0001
-204.600	-85.345	3.754	S_0114_1_0001
-209.152	-92.628	5.997	S_0115_0001
-207.686	-85.066	1.486	S_0115_1_0001
-218.658	-88.148	2.639	S_0116_0001
-223.886	-84.492	2.101	S_0116_1_0001
-227.166	-84.007	1.419	S_0117_0001
-212.980	-87.413	4.421	S_0117_1_0001
-213.553	-81.840	3.100	S_0118_0001
-219.728	-82.373	1.515	S_0118_1_0001
-199.152	-79.578	3.599	S_0119_0001
-216.883	-86.043	2.530	S_0119_1_0001
-200.063	-81.904	5.036	S_0120_0001
-212.518	-79.679	4.074	S_0120_1_0001
-210.424	-85.640	1.789	S_0121_0001
-216.626	-90.231	3.191	S_0121_1_0001
-223.729	-84.983	1.351	S_0122_0001
-205.934	-80.949	1.828	S_0122_1_0001
-221.025	-85.720	2.512	S_0123_0001
-198.895	-77.390	3.544	S_0123_1_0001
-205.143	-87.760	2.757	S_0124_0001
-219.647	-86.265	3.043	S_0124_1_0001
-218.860	-75.015	5.058	S_0125_0001
-212.172	-86.448	2.953	S_0125_1_0001
-206.805	-84.416	1.924	S_0126_0001
-203.175	-79.095	3.728	S_0126_1_0001
-225.879	-88.832	2.497	S_0127_0001
-222.885	-83.635	1.654	S_0127_1_0001
-217.146	-87.418	3.364	S_0128_0001
-202.125	-78.344	3.378	S_0128_1_0001
-222.636	-81.804	3.388	S_0129_0001
-224.767	-84.222	2.668	S_0129_1_0001
-222.428	-82.379	1.853	S_0130_0001
-214.457	-87.515	3.194	S_0130_1_0001
-207.828	-83.544	3.146	S_0131_0001
-218.558	-86.585	1.801	S_0131_1_0001
-229.487	-83.528	2.038	S_0132_0001
-226.280	-90.933	2.663	S_0132_1_0001
-212.630	-86.226	2.776	S_0133_0001
-219.079	-86.889	2.340	S_0133_1_0001
-209.944	-83.983	2.079	S_0134_0001
-199.734	-83.821	2.969	S_0134_1_0001
-207.687	-80.799	2.887	S_0135_0001
-220.781	-90.485	3.284	S_0135_1_0001
-216.650	-82.319	0.975	S_0136_0001
-213.454	-79.885	2.689	S_0136_1_0001
-214.792	-83.291	2.832	S_0137_0001
-215.619	-86.213	2.863	S_0137_1_0001
-221.291	-86.557	2.437	S_0138_0001
-226.421	-88.467	3.178	S_0138_1_0001
-210.328	-86.946	3.841	S_0139_0001
-233.705	-87.656	7.328	S_0139_1_0001
-224.866	-86.453	2.464	S_0140_0001
-222.459	-86.194	2.536	S_0140_1_0001
-193.427	-83.732	4.614	S_0141_0001
-196.241	-89.660	3.107	S_0141_1_0001
-230.817	-86.091	3.119	S_0142_0001
-217.086	-84.445	2.391	S_0142_1_0001
-216.644	-87.763	3.411	S_0143_0001
-211.441	-82.313	1.226	S_0143_1_0001
-198.310	-82.809	4.633	S_0144_0001
-224.313	-81.249	2.428	S_0144_1_0001
-212.833	-85.579	1.755	S_0145_0001
-217.974	-86.309	3.397	S_0145_1_0001
-228.630	-84.438	1.770	S_0146_0001
-214.710	-87.368	3.723	S_0146_1_0001
-218.643	-84.893	2.794	S_0147_0001
-223.993	-83.902	1.887	S_0147_1_0001
-217.567	-83.834	3.150	S_0148_0001
-222.045	-83.807	1.587	S_0148_1_0001
-232.697	-83.128	1.954	S_0149_0001
-213.713	-85.644	1.735	S_0149_1_0001
-207.235	-85.411	3.031	S_0150_0001
-220.137	-88.766	3.226	S_0150_1_0001
-219.254	-80.197	2.441	S_0151_0001
-217.575	-85.940	2.702	S_0151_1_0001
-217.806	-83.876	2.446	S_0152_0001
-230.639	-84.365	1.912	S_0152_1_0001
-212.417	-86.410	3.613	S_0153_0001
-215.731	-89.268	2.204	S_0153_1_0001
-216.315	-78.637	2.364	S_0154_0001
-204.702	-80.294	1.259	S_0154_1_0001
-221.861	-86.434	2.643	S_0155_0001
-227.405	-83.825	2.850	S_0155_1_0001
-204.360	-89.561	2.815	S_0156_0001
-212.302	-79.890	3.511	S_0156_1_0001
-229.902	-91.046	6.199	S_0157_0001
-205.703	-79.759	1.794	S_0157_1_0001
-217.255	-88.602	1.797	S_0158_0001
-215.180	-82.259	2.391	S_0158_1_0001
-219.961	-89.224	2.967	S_0159_0001
-221.077	-83.533	1.528	S_0159_1_0001
-219.686	-85.435	3.415	S_0160_0001
-218.860	-83.757	1.418	S_0160_1_0001
-216.417	-83.194	2.732	S_0161_0001
-219.176	-85.089	2.153	S_0161_1_0001
-209.209	-84.225	2.809	S_0162_0001
-202.137	-78.108	5.237	S_0162_1_0001
-214.015	-83.520	2.203	S_0163_0001
-214.908	-78.875	2.118	S_0163_1_0001
-206.999	-89.424	2.830	S_0164_0001
-218.777	-86.221	3.241	S_0164_1_0001
-223.920	-85.137	2.613	S_0165_0001
-215.495	-89.281	3.117	S_0165_1_0001
-208.545	-80.879	3.037	S_0166_0001
-234.845	-86.227	1.913	S_0166_1_0001
-220.939	-88.568	3.271	S_0167_0001
-216.371	-80.102	2.219	S_0167_1_0001
-214.002	-89.423	1.277	S_0168_0001
-208.148	-87.319	3.926	S_0168_1_0001
-229.977	-83.839	2.360	S_0169_0001
-214.716	-85.804	3.064	S_0169_1_0001
-220.320	-83.978	3.438	S_0170_0001
-206.662	-80.649	3.561	S_0170_1_0001
-216.323	-82.087	1.071	S_0171_0001
-231.887	-85.569	0.896	S_0171_1_0001
-227.269	-89.671	2.737	S_0172_0001
-204.879	-88.751	3.064	S_0172_1_0001
-222.458	-83.488	1.187	S_0173_0001
-209.637	-78.157	3.739	S_0173_1_0001
-208.991	-85.472	3.235	S_0174_0001
-195.865	-80.916	3.792	S_0174_1_0001
-227.314	-86.048	3.646	S_0175_0001
-229.067	-83.874	2.111	S_0175_1_0001
-214.317	-88.013	2.238	S_0176_0001
-210.072	-85.188	3.009	S_0176_1_0001
-210.760	-84.604	2.007	S_0177_0001
-215.649	-80.910	2.220	S_0177_1_0001
-215.963	-84.741	1.186	S_0178_0001
-215.912	-84.488	3.276	S_0178_1_0001
-217.168	-85.795	3.892	S_0179_0001
-195.977	-83.930	2.599	S_0179_1_0001
-223.107	-85.172	1.487	S_0180_0001
-215.077	-91.600	2.849	S_0180_1_0001
-232.585	-82.334	0.981	S_0181_0001
-220.377	-75.009	4.837	S_0181_1_0001
-211.995	-81.951	3.557	S_0182_0001
-216.160	-85.403	2.526	S_0182_1_0001
-211.797	-82.361	1.046	S_0183_0001
-230.932	-82.219	1.079	S_0183_1_0001
-213.560	-81.169	1.817	S_0184_0001
-205.077	-85.140	2.500	S_0184_1_0001
-222.425	-89.481	2.144	S_0185_0001
-218.676	-84.045	2.887	S_0185_1_0001
-199.853	-85.387	3.059	S_0186_0001
-228.700	-84.885	2.066	S_0186_1_0001
-226.150	-89.620	2.884	S_0187_0001
-222.905	-80.616	2.497	S_0187_1_0001
-197.024	-83.590	1.508	S_0188_0001
-214.645	-81.788	2.623	S_0188_1_0001
-218.602	-91.191	7.511	S_0189_0001
-219.733	-85.877	3.083	S_0189_1_0001
-210.565	-80.170	1.968	S_0190_0001
-219.032	-82.094	1.956	S_0190_1_0001
-228.588	-86.272	1.951	S_0191_0001
-208.715	-83.364	2.515	S_0191_1_0001
-211.947	-85.861	2.124	S_0192_0001
-215.774	-83.025	2.864	S_0192_1_0001
-205.757	-84.148	2.851	S_0193_0001
-223.728	-85.758	3.065	S_0193_1_0001
-213.080	-81.592	1.773	S_0194_0001
-221.699	-88.125	2.184	S_0194_1_0001
-218.982	-86.124	2.561	S_0195_0001
-212.264	-83.950	2.005	S_0195_1_0001
-214.113	-87.991	2.369	S_0196_0001
-215.644	-81.295	2.285	S_0196_1_0001
-221.800	-81.928	2.786	S_0197_0001
-209.824	-82.784	2.737	S_0197_1_0001
-237.196	-86.752	1.109	S_0198_0001
-223.073	-82.707	1.571	S_0198_1_0001
-215.087	-84.147	5.240	S_0199_0001
-228.616	-83.407	1.851	S_0199_1_0001
-218.705	-80.810	2.767	S_0200_0001
-208.176	-83.927	2.456	S_0200_1_0001
-230.484	-90.364	3.405	S_0201_0001
-220.280	-86.615	2.464	S_0201_1_0001
-200.320	-83.052	3.870	S_0202_0001
-210.245	-80.303	3.198	S_0202_1_0001
-208.407	-84.670	2.004	S_0203_0001
-215.871	-83.027	0.764	S_0203_1_0001
-216.367	-85.982	2.553	S_0204_0001
-203.829	-76.346	3.780	S_0204_1_0001
-235.007	-92.271	6.453	S_0205_0001
-217.501	-85.473	3.532	S_0205_1_0001
-206.055	-86.103	3.469	S_0206_0001
-213.378	-83.523	2.462	S_0206_1_0001
-224.054	-84.255	2.614	S_0207_0001
-228.159	-84.179	1.713	S_0207_1_0001
-217.146	-86.402	4.282	S_0208_0001
-217.473	-86.386	2.319	S_0208_1_0001
-224.128	-88.081	2.478	S_0209_0001
-223.442	-86.819	1.314	S_0209_1_0001
-226.736	-81.420	2.197	S_0210_0001
-217.509	-84.079	2.256	S_0210_1_0001
-222.745	-85.685	2.634	S_0211_0001
-222.287	-87.593	4.976	S_0211_1_0001
-196.892	-79.535	3.658	S_0212_0001
-211.313	-83.174	2.063	S_0212_1_0001
-233.315	-91.951	2.205	S_0213_0001
-215.362	-79.987	2.460	S_0213_1_0001
-221.598	-81.033	0.976	S_0214_0001
-212.545	-83.861	1.671	S_0214_1_0001
-218.476	-78.260	1.874	S_0215_0001
-210.821	-86.277	6.743	S_0215_1_0001
-215.188	-89.828	6.368	S_0216_0001
-219.863	-83.710	1.835	S_0216_1_0001
-229.039	-82.115	1.148	S_0217_0001
-208.710	-86.738	3.161	S_0217_1_0001
-218.170	-84.331	1.124	S_0218_0001
-218.331	-85.235	3.417	S_0218_1_0001
-222.975	-88.278	2.983	S_0219_0001
-204.398	-84.569	2.613	S_0219_1_0001
-217.041	-82.993	2.969	S_0220_0001
-212.451	-83.009	2.359	S_0220_1_0001
-203.873	-84.887	2.560	S_0221_0001
-217.652	-86.105	3.159	S_0221_1_0001
-227.019	-82.956	1.397	S_0222_0001
-212.307	-84.059	2.024	S_0222_1_0001
-224.702	-84.244	3.142	S_0223_0001
-211.749	-86.583	1.582	S_0223_1_0001
-221.663	-88.113	2.226	S_0224_0001
-215.395	-88.412	3.290	S_0224_1_0001
-207.274	-82.256	2.780	S_0225_0001
-209.749	-86.728	2.845	S_0225_1_0001
-205.846	-81.796	2.844	S_0226_0001
-208.216	-82.750	1.909	S_0226_1_0001
-210.182	-81.676	3.258	S_0227_0001
-218.383	-86.724	3.896	S_0227_1_0001
-229.705	-84.006	1.248	S_0228_0001
-207.156	-79.499	2.828	S_0228_1_0001
-216.067	-77.793	2.548	S_0229_0001
-215.220	-91.142	5.270	S_0229_1_0001
-217.114	-82.250	3.354	S_0230_0001
-199.796	-90.126	3.476	S_0230_1_0001
-222.899	-85.909	3.048	S_0231_0001
-224.614	-88.385	9.431	S_0231_1_0001
-230.741	-84.527	1.423	S_0232_0001
-227.439	-82.748	1.711	S_0232_1_0001
-219.702	-82.014	2.411	S_0233_0001
-211.613	-82.189	4.523	S_0233_1_0001
-225.191	-82.074	1.028	S_0234_0001
-206.060	-85.444	3.420	S_0234_1_0001
-210.731	-84.849	3.102	S_0235_0001
-226.609	-84.613	2.834	S_0235_1_0001
-203.688	-75.299	6.447	S_0236_0001
-214.437	-85.530	2.818	S_0236_1_0001
-210.923	-85.589	3.477	S_0237_0001
-212.727	-84.282	2.251	S_0237_1_0001
-220.665	-81.724	3.731	S_0238_0001
-203.017	-83.192	3.152	S_0238_1_0001
-211.028	-79.959	1.093	S_0239_0001
-209.581	-75.898	3.959	S_0239_1_0001
-219.821	-83.559	3.091	S_0240_0001
-204.025	-83.165	4.213	S_0240_1_0001
-223.325	-87.522	1.988	S_0241_0001
-210.522	-84.563	1.536	S_0241_1_0001
-214.844	-88.102	2.582	S_0242_0001
-216.153	-86.789	2.138	S_0242_1_0001
-210.892	-82.274	2.036	S_0243_0001
-234.908	-84.392	1.662	S_0243_1_0001
-212.535	-77.044	2.667	S_0244_0001
-214.682	-86.586	3.401	S_0244_1_0001
-212.516	-84.029	3.763	S_0245_0001
-217.833	-83.915	1.349	S_0245_1_0001
-211.896	-78.336	3.502	S_0246_0001
-216.290	-77.189	3.156	S_0246_1_0001
-215.127	-84.141	1.645	S_0247_0001
-202.009	-85.400	4.599	S_0247_1_0001
-220.137	-92.998	5.107	S_0248_0001
-215.681	-86.130	3.064	S_0248_1_0001
-212.348	-86.438	2.678	S_0249_0001
-205.117	-84.010	3.802	S_0249_1_0001
-224.516	-83.606	0.761	S_0250_0001
-223.958	-78.787	2.438	S_0250_1_0001
-212.745	-83.586	2.533	S_0251_0001
-224.754	-87.587	5.396	S_0251_1_0001
-212.120	-85.913	3.749	S_0252_0001
-214.828	-82.060	3.155	S_0252_1_0001
-218.579	-91.942	6.719	S_0253_0001
-228.055	-86.576	1.947	S_0253_1_0001
-209.136	-84.780	3.265	S_0254_0001
-196.641	-81.874	4.583	S_0254_1_0001
-225.022	-84.888	2.277	S_0255_0001
-191.959	-84.515	5.785	S_0255_1_0001
-221.247	-87.231	1.936	S_0256_0001
-207.700	-88.094	4.571	S_0256_1_0001
-206.391	-84.979	2.935	S_0257_0001
-218.159	-78.080	3.964	S_0257_1_0001
-224.387	-88.387	2.943	S_0258_0001
-213.481	-82.973	2.438	S_0258_1_0001
-215.959	-82.014	2.292	S_0259_0001
-197.901	-84.605	3.845	S_0259_1_0001
-213.561	-85.488	2.546	S_0260_0001
-233.247	-83.480	1.969	S_0260_1_0001
-226.257	-81.440	1.757	S_0261_0001
-210.038	-88.274	3.092	S_0261_1_0001
-201.856	-85.975	2.345	S_0262_0001
-197.819	-84.369	3.122	S_0262_1_0001
-224.486	-82.165	1.428	S_0263_0001
-216.586	-89.115	2.926	S_0263_1_0001
-211.715	-86.052	3.175	S_0264_0001
-222.060	-86.471	2.487	S_0264_1_0001
-219.119	-81.181	5.843	S_0265_0001
-209.928	-88.582	2.613	S_0265_1_0001
-214.454	-82.598	2.177	S_0266_0001
-213.723	-85.582	2.504	S_0266_1_0001
-221.946	-87.774	2.138	S_0267_0001
-213.465	-82.668	2.407	S_0267_1_0001
-194.784	-85.065	4.173	S_0268_0001
-202.181	-84.283	1.633	S_0268_1_0001
-215.724	-81.419	3.075	S_0269_0001
-213.664	-85.483	2.815	S_0269_1_0001
-217.453	-86.845	2.042	S_0270_0001
-199.450	-82.810	3.517	S_0270_1_0001
-214.827	-83.715	1.588	S_0271_0001
-216.886	-80.769	3.576	S_0271_1_0001
-229.858	-82.485	0.658	S_0272_0001
-209.030	-79.223	1.592	S_0272_1_0001
-220.844	-87.619	4.093	S_0273_0001
-210.384	-84.487	2.601	S_0273_1_0001
-198.895	-88.906	2.629	S_0274_0001
-216.094	-85.946	2.388	S_0274_1_0001
-210.644	-80.373	2.813	S_0275_0001
-215.071	-79.793	3.533	S_0275_1_0001
-215.109	-85.806	2.204	S_0276_0001
-208.653	-80.998	1.548	S_0276_1_0001
-207.457	-84.787	2.072	S_0277_0001
-203.957	-78.398	3.278	S_0277_1_0001
-212.138	-76.469	2.347	S_0278_0001
-206.764	-84.060	3.153	S_0278_1_0001
-219.376	-85.589	2.651	S_0279_0001
-218.520	-81.531	1.492	S_0279_1_0001
-223.532	-84.121	2.331	S_0280_0001
-211.357	-88.825	4.539	S_0280_1_0001
-208.210	-83.276	3.116	S_0281_0001
-220.638	-87.967	3.419	S_0281_1_0001
-218.691	-84.701	2.050	S_0282_0001
-220.043	-83.103	2.335	S_0282_1_0001
-205.387	-78.931	2.338	S_0283_0001
-218.789	-86.214	3.348	S_0283_1_0001
-206.106	-83.083	3.238	S_0284_0001
-222.981	-85.670	3.867	S_0284_1_0001
-217.476	-83.889	4.052	S_0285_0001
-219.937	-84.530	1.501	S_0285_1_0001
-210.782	-77.103	3.005	S_0286_0001
-227.416	-86.704	2.241	S_0286_1_0001
-208.093	-86.685	3.498	S_0287_0001
-218.390	-82.870	1.851	S_0287_1_0001
-223.913	-94.284	7.240	S_0288_0001
-209.122	-84.348	3.780	S_0288_1_0001
-210.767	-76.978	3.737	S_0289_0001
-206.929	-86.643	2.454	S_0289_1_0001
-218.203	-85.862	1.430	S_0290_0001
-206.293	-90.543	4.993	S_0290_1_0001
-228.508	-82.596	2.353	S_0291_0001
-188.480	-83.717	4.397	S_0291_1_0001
-220.610	-82.547	2.411	S_0292_0001
-219.416	-86.133	2.489	S_0292_1_0001
-210.302	-77.644	3.204	S_0293_0001
-224.695	-85.368	2.775	S_0293_1_0001
-233.310	-85.386	2.489	S_0294_0001
-195.073	-81.083	3.854	S_0294_1_0001
-217.124	-85.253	3.744	S_0295_0001
-217.591	-85.223	1.819	S_0295_1_0001
-197.393	-83.977	4.844	S_0296_0001
-216.575	-85.727	3.639	S_0296_1_0001
-208.228	-80.901	2.035	S_0297_0001
-205.485	-78.964	2.516	S_0297_1_0001
-224.790	-85.920	1.925	S_0298_0001
-227.536	-84.562	1.089	S_0298_1_0001
-227.223	-83.590	1.316	S_0299_0001
-208.530	-79.986	4.813	S_0299_1_0001
-203.345	-83.518	2.922	S_0300_0001
-215.175	-85.778	2.678	S_0300_1_0001
-228.606	-82.849	3.081	S_0301_0001
-216.846	-83.459	1.090	S_0301_1_0001
-210.829	-85.997	1.919	S_0302_0001
-192.877	-82.440	2.930	S_0302_1_0001
-220.109	-78.561	1.986	S_0303_0001
-194.695	-76.428	4.263	S_0303_1_0001
