tag	atom_pair_constraint	score
S_0058_4	-144.254	33.704
S_0153	-162.812	38.034
S_0019	-172.876	3.221
S_0018	-197.62	-17.444
S_0017	-153.487	41.158
S_0016	-176.769	6.18
S_0015	-189.007	-39.909
S_0014	-193.204	-21.79
S_0013	-191.788	-21.609
S_0012	-158.493	71.767
S_0011	-179.369	79.91
S_0010	-181.899	4.818
S_0129_1	-161.144	17.63
S_0082_3	-174.707	25.582
S_0020_4	-186.209	10.579
S_0082_2	-162.786	78.882
S_0020_1	-146.088	72.182
S_0020_3	-187.573	-26.965
S_0020_2	-120.502	137.457
S_0168_4	-159.423	42.999
S_0122_4	-149.342	50.551
S_0168_2	-184.097	-29.436
S_0129_4	-172.593	40.645
S_0022_3	-180.787	-7.498
S_0022_2	-152.154	29.012
S_0022_1	-170.662	70.735
S_0120	-188.889	-17.578
S_0127	-157.384	66.195
S_0126	-190.789	-18.218
S_0125	-189.869	-24.196
S_0028_4	-150.453	111.048
S_0080	-173.173	33.218
S_0081	-139.046	106.97
S_0082	-199.054	-35.689
S_0083	-187.779	3.692
S_0084	-172.77	-5.17
S_0085	-135.667	120.648
S_0086	-178.907	-1.696
S_0087	-167.636	-8.738
S_0002_1	-176.18	-2.224
S_0162_3	-178.283	-10.038
S_0002_3	-157.089	117.337
S_0002_2	-197.197	-42.918
S_0002_4	-157.022	100.577
S_0162_4	-187.817	-2.815
S_0200_3	-152.753	106.301
S_0028_1	-153.437	108.476
S_0122_1	-197.52	-42.031
S_0099_1	-195.882	2.711
S_0099_3	-178.965	17.358
S_0099_2	-181.024	18.385
S_0164_1	-166.816	31.007
S_0052_4	-167.116	49.05
S_0164_3	-183.045	-21.159
S_0052_2	-194.99	-0.652
S_0052_3	-186.243	16.148
S_0052_1	-181.873	11.895
S_0133_4	-165.083	56.946
S_0028_2	-168.173	-42.014
S_0133_1	-154.413	79.809
S_0133_2	-123.065	118.405
S_0133_3	-168.833	0.867
S_0108_4	-190.722	19.937
S_0108_2	-141.574	135.054
S_0108_3	-169.954	-2.764
S_0108_1	-168.196	-14.525
S_0131_2	-155.317	77.379
S_0131_3	-152.72	29.403
S_0166_4	-181.806	-9.933
S_0131_1	-172.744	41.771
S_0134_2	-182.583	1.906
S_0166_3	-170.304	-31.456
S_0131_4	-183.283	8.802
S_0166_1	-180.643	-8.928
S_0106_4	-163.961	62.461
S_0106_1	-167.72	48.153
S_0106_2	-149.997	73.104
S_0106_3	-163.784	16.233
S_0137_1	-175.756	25.708
S_0137_2	-191.743	-11.566
S_0137_3	-190.762	-6.663
S_0137_4	-176.44	-10.437
S_0160_1	-146.794	93.076
S_0091_4	-144.636	64.693
S_0091_1	-167.162	4.332
S_0160_2	-185.923	-21.879
S_0091_3	-172.36	15.89
S_0091_2	-181.332	-0.541
S_0134_1	-168.478	39.801
S_0174_4	-126.36	112.857
S_0093_3	-180.127	27.301
S_0093_2	-150.863	108.45
S_0093_1	-167.9	-19.279
S_0093_4	-166.516	-4.569
S_0095_1	-163.153	71.516
S_0006_4	-178.555	-10.948
S_0095_3	-167.877	6.691
S_0095_2	-152.671	85.943
S_0006_1	-161.122	9.05
S_0095_4	-129.607	175.795
S_0006_3	-185.537	-24.211
S_0006_2	-168.947	22.354
S_0004_3	-178.954	20.988
S_0004_2	-154.744	62.139
S_0004_1	-182.252	-31.712
S_0004_4	-167.521	-27.161
S_0097_4	-179.298	29.311
S_0097_3	-191.014	-7.746
S_0097_2	-183.893	-40.834
S_0097_1	-172.648	4.565
S_0068_1	-194.862	-13.019
S_0104_3	-187.326	-6.492
S_0068_3	-169.245	70.503
S_0068_2	-165.173	16.657
S_0068_4	-173.89	-14.246
S_0104_4	-180.183	8.933
S_0157	-174.027	35.485
S_0154	-157.608	4.948
S_0102_1	-190.806	-37.184
S_0102_2	-147.493	126.812
S_0102_3	-186.216	-20.128
S_0102_4	-173.344	9.722
S_0135_3	-179.016	-1.616
S_0135_1	-177.06	-5.433
S_0152	-171.817	4.12
S_0145_4	-163.167	-23.125
S_0145_3	-160.75	83.004
S_0145_2	-188.118	5.463
S_0145_1	-181.819	-2.736
S_0008_4	-190.907	-6.992
S_0008_3	-151.832	20.154
S_0008_2	-188.214	18.366
S_0008_1	-186.682	-20.101
S_0064_4	-178.459	-2.215
S_0100_4	-186.713	-43.51
S_0151	-179.301	-27.632
S_0064_1	-188.61	-6.59
S_0100_3	-170.262	12.212
S_0064_3	-164.45	6.388
S_0064_2	-190.937	-32.279
S_0139_2	-154.327	77.784
S_0139_3	-175.062	23.548
S_0139_1	-168.771	31.491
S_0139_4	-172.944	3.813
S_0066_3	-153.696	75.645
S_0066_2	-184.426	-21.426
S_0066_1	-186.799	-27.183
S_0073_3	-182.705	10.184
S_0066_4	-160.453	-0.335
S_0118	-181.993	-14.145
S_0044_4	-148.401	17.836
S_0112	-178.697	-11.263
S_0036_4	-187.256	-3.336
S_0110	-155.836	12.821
S_0111	-152.702	143.656
S_0116	-188.973	-31.372
S_0117	-182.693	-3.167
S_0114	-177.303	37.378
S_0073_4	-172.607	60.443
S_0158	-178.284	-26.493
S_0159	-173.769	6.54
S_0143_4	-173.407	-34.631
S_0143_1	-118.463	129.47
S_0143_3	-178.594	-7.13
S_0143_2	-170.064	21.219
S_0141_3	-185.518	-31.621
S_0141_2	-153.924	130.448
S_0141_1	-192.558	-15.481
S_0141_4	-177.01	-9.141
S_0026	-187.316	7.167
S_0027	-127.904	98.074
S_0024	-178.662	-18.802
S_0025	-138.775	102.643
S_0022	-190.479	33.252
S_0023	-181.966	-60.717
S_0020	-145.257	80.081
S_0021	-192.265	-13.259
S_0060_1	-185.44	-22.671
S_0060_3	-175.059	19.482
S_0060_2	-176.556	28.368
S_0060_4	-199.421	-51.996
S_0028	-182.326	-19.015
S_0029	-155.353	65.932
S_0055_4	-189.172	-33.063
S_0055_1	-182.594	4.535
S_0055_3	-174.892	9.37
S_0055_2	-154.322	46.678
S_0057_3	-186.757	30.396
S_0057_2	-141.46	74.962
S_0057_1	-186.697	47.634
S_0062_4	-142.253	144.169
S_0062_3	-170.432	56.61
S_0062_2	-150.237	19.974
S_0062_1	-157.103	24.31
S_0057_4	-181.613	11.916
S_0161_4	-146.283	27.497
S_0161_1	-182.317	12.216
S_0051	-181.311	17.778
S_0161_3	-163.844	24.357
S_0161_2	-197.755	-42.803
S_0051_1	-179.993	24.947
S_0052	-179.448	-24.226
S_0051_3	-162.638	7.072
S_0050	-183.646	22.144
S_0057	-170.904	15.295
S_0051_4	-181.27	-7.202
S_0055	-185.878	25.156
S_0054	-178.898	-5.539
S_0163_3	-159.724	-2.193
S_0163_2	-176.505	20.911
S_0059	-144.106	84.31
S_0058	-184.826	-3.295
S_0151_3	-187.277	-36.399
S_0056	-172.434	22.354
S_0194_4	-198.974	19.817
S_0164	-146.247	193.999
S_0194_1	-195.516	-40.352
S_0194_3	-179.619	73.567
S_0194_2	-165.027	27.461
S_0163	-187.833	-56.783
S_0196_3	-187.57	-3.202
S_0196_2	-159.748	86.463
S_0196_1	-155.77	32.327
S_0178_4	-163.016	16.916
S_0196_4	-191.93	1.921
S_0051_2	-156.249	36.198
S_0163_1	-184.474	-22.444
S_0071_2	-164.579	0.666
S_0190_1	-90.43	161.637
S_0169_4	-164.829	78.975
S_0190_3	-173.289	-24.65
S_0190_2	-187.194	-21.735
S_0169_1	-153.861	88.25
S_0178_1	-173.568	28.817
S_0169_3	-189.668	-32.637
S_0150_1	-145.402	99.082
S_0164_4	-157.659	83.949
S_0114_4	-182.269	-1.259
S_0163_4	-173.78	47.652
S_0192_3	-185.417	-35.838
S_0192_2	-134.267	86.384
S_0192_1	-152.05	94.773
S_0195	-180.505	1.582
S_0096_4	-153.762	80.033
S_0096_2	-174.755	20.983
S_0096_3	-143.523	171.697
S_0096_1	-182.024	17.103
S_0165_1	-178.774	3.65
S_0165_3	-164.938	7.894
S_0053_4	-182.281	17.576
S_0053_3	-178.969	-51.122
S_0053_2	-177.882	-21.249
S_0053_1	-175.001	15.751
S_0168_1	-179.684	53.507
S_0098_4	-169.096	6.028
S_0132_4	-185.061	-28.855
S_0132_1	-178.75	5.345
S_0098_1	-164.221	35.19
S_0098_2	-179.909	-44.067
S_0098_3	-194.472	38.488
S_0028_3	-176.962	-17.608
S_0109_4	-163.256	-3.897
S_0109_3	-181.683	-24.888
S_0109_2	-184.41	1.166
S_0109_1	-194.191	-61.587
S_0130_3	-163.697	29.716
S_0088	-153.203	93.515
S_0130_1	-181.782	-21.528
S_0150_3	-133.354	111.974
S_0167_3	-191.999	-36.753
S_0167_2	-153.234	76.128
S_0167_1	-152.418	-4.728
S_0089	-144.485	85.727
S_0107_4	-170.545	37.93
S_0107_1	-156.476	152.577
S_0121	-187.137	7.031
S_0107_3	-158.766	59.515
S_0107_2	-193.595	-23.621
S_0136_1	-149.447	109.296
S_0136_3	-193.023	-37.852
S_0136_2	-188.112	-23.374
S_0136_4	-178.634	6.834
S_0059_1	-123.491	103.369
S_0105_2	-139.061	127.637
S_0059_3	-180.469	15.216
S_0059_2	-148.14	174.309
S_0059_4	-190.724	-35.989
S_0105_4	-178.615	-7.175
S_0150_2	-170.813	21.198
S_0173_3	-170.588	69.094
S_0090_4	-186.732	-28.919
S_0022_4	-192.027	-6.392
S_0090_1	-190.477	-11.858
S_0090_2	-162.086	81.852
S_0090_3	-190.652	28.864
S_0092_2	-175.286	50.472
S_0092_3	-168.846	10.56
S_0092_1	-168.829	-10.134
S_0129	-181.797	2.027
S_0092_4	-145.246	60.305
S_0128	-186.971	18.137
S_0173_4	-133.887	112.363
S_0094_1	-184.115	-33.964
S_0094_2	-174.024	-15.152
S_0094_3	-156.642	55.947
S_0094_4	-196.616	-13.271
S_0072_2	-188.81	-1.386
S_0172_1	-185.64	19.808
S_0199_1	-191.517	-35.286
S_0199_2	-86.83	196.21
S_0199_3	-177.177	-17.975
S_0199_4	-183.069	-35.589
S_0072_4	-151.104	88.732
S_0145	-173.196	20.936
S_0144	-194.611	-33.318
S_0068	-165.746	-11.713
S_0069	-164.032	18.682
S_0141	-164.045	6.001
S_0140	-190.056	-21.933
S_0143	-186.571	12.14
S_0142	-167.245	78.857
S_0062	-184.072	33.897
S_0063	-126.803	152.246
S_0060	-145.271	100.369
S_0061	-173.124	-7.75
S_0066	-169.379	-7.513
S_0067	-182.924	-29.132
S_0064	-184.798	-22.827
S_0065	-166.144	52.506
S_0084_4	-184.865	-7.171
S_0162_1	-181.314	-6.7
S_0097	-180.282	-4.226
S_0096	-184.028	-39.923
S_0095	-174.033	-21.586
S_0094	-141.247	82.251
S_0093	-190.654	0.328
S_0092	-165.168	48.842
S_0091	-173.007	56.847
S_0090	-135.198	108.748
S_0138_3	-150.326	58.564
S_0138_2	-151.424	127.497
S_0138_1	-179.198	-36.99
S_0071_3	-146.539	63.925
S_0099	-180.723	39.407
S_0098	-175.216	51.615
S_0099_4	-162.469	43.494
S_0191_1	-184.518	31.097
S_0037_1	-169.358	-24.66
S_0037_3	-156.408	77.176
S_0037_2	-171.811	38.333
S_0037_4	-196.368	-2.807
S_0146	-156.077	101.924
S_0182	-166.259	57.235
S_0035_4	-171.785	30.921
S_0035_3	-149.729	23.783
S_0035_2	-161.423	-1.163
S_0035_1	-182.131	11.886
S_0190_4	-192.237	-38.419
S_0115_4	-197.149	45.31
S_0169_2	-192.309	-3.399
S_0164_2	-165.084	-9.531
S_0039_3	-169.153	31.11
S_0039_2	-169.861	21.691
S_0039_1	-181.297	4.159
S_0179_4	-172.468	76.473
S_0039_4	-167.608	147.523
S_0193_4	-151.63	93.352
S_0193_2	-170.354	-9.642
S_0193_3	-166.607	41.293
S_0193_1	-179.154	18.23
S_0179_2	-192.641	-47.431
S_0179_3	-185.211	-20.419
S_0191_4	-159.579	36.678
S_0186_4	-165.509	57.723
S_0168_3	-147.491	67.222
S_0179_1	-186.933	16.216
S_0154_4	-182.166	-3.113
S_0033_4	-183.68	24.628
S_0033_1	-181.237	61.135
S_0033_3	-151.587	115.269
S_0033_2	-179.379	-18.94
S_0150	-178.524	27.677
S_0165_2	-194.22	-61.469
S_0031_3	-198.876	-50.088
S_0031_2	-170.554	49.061
S_0031_1	-166.611	-1.627
S_0031_4	-180.55	-6.3
S_0154_1	-173.63	12.312
S_0154_3	-177.821	20.601
S_0154_2	-180.574	-17.131
S_0115_2	-180.077	1.921
S_0195_4	-175.059	-23.53
S_0195_1	-177.529	-12.902
S_0195_2	-179.492	5.428
S_0195_3	-191.202	7.665
S_0197_2	-184.018	24.703
S_0197_3	-158.67	79.073
S_0147_1	-198.696	-53.908
S_0156_4	-194.437	-38.471
S_0156_3	-181.535	-5.45
S_0156_2	-154.051	117.585
S_0156_1	-153.527	87.106
S_0192_4	-181.205	-13.081
S_0011_4	-186.893	11.507
S_0191_2	-175.718	12.043
S_0191_3	-150.343	96.287
S_0011_1	-186.056	-14.191
S_0011_3	-183.376	21.717
S_0011_2	-183.419	59.103
S_0013_3	-175.916	34.437
S_0013_2	-179.644	93.614
S_0013_1	-196.454	-45.069
S_0013_4	-183.786	-59.792
S_0109	-181.386	-30.973
S_0108	-188.636	97.339
S_0101	-190.907	-11.133
S_0100	-180.204	-15.949
S_0103	-159.789	6.603
S_0102	-153.839	50.309
S_0105	-175.018	-34.936
S_0104	-184.506	2.901
S_0107	-189.36	60.587
S_0106	-183.033	40.696
S_0192	-192.124	-2.595
S_0019_4	-183.073	48.282
S_0190	-162.498	28.525
S_0191	-172.876	29.98
S_0019_1	-189.762	-17.234
S_0197	-196.562	105.641
S_0019_3	-175.962	-14.361
S_0019_2	-187.121	-6.408
S_0198	-144.241	97.915
S_0199	-179.341	27.738
S_0152_3	-159.105	-5.181
S_0152_2	-140.201	115.961
S_0152_1	-178.364	9.273
S_0200_2	-170.056	12.317
S_0147_2	-181.075	-22.875
S_0157_4	-192.154	-22.367
S_0135_4	-149.768	130.259
S_0152_4	-157.422	94.082
S_0035	-162.712	2.596
S_0034	-156.78	74.429
S_0037	-166.963	-0.319
S_0036	-178.713	16.841
S_0031	-136.394	66.776
S_0030	-185.244	-22.926
S_0033	-189.357	7.356
S_0032	-157.16	47.205
S_0015_1	-167.399	19.583
S_0015_3	-173.949	-9.09
S_0015_2	-184.023	3.501
S_0039	-148.372	98.727
S_0015_4	-125.619	137.382
S_0165_4	-179.015	-10.532
S_0042_4	-196.764	0.78
S_0042_1	-157.407	12.709
S_0042_3	-147.663	72.354
S_0042_2	-187.805	9.975
S_0079_4	-179.81	24.045
S_0079_3	-167.677	10.437
S_0079_2	-168.074	-22.918
S_0079_1	-168.614	-9.291
S_0040_3	-156.617	-3.955
S_0040_2	-191.9	-46.788
S_0040_1	-188.875	-27.618
S_0017_4	-167.459	22.672
S_0017_3	-144.757	54.85
S_0017_2	-151.124	91.26
S_0017_1	-176.965	-9.825
S_0040_4	-168.584	60.522
S_0198_1	-146.191	98.321
S_0077_4	-196.149	-43.32
S_0198_3	-181.773	11.853
S_0198_2	-167.809	11.107
S_0077_1	-173.353	18.97
S_0198_4	-121.134	196.011
S_0077_3	-179.326	-3.271
S_0077_2	-175.096	-4.07
S_0046_1	-169.094	15.814
S_0046_3	-159.023	43.204
S_0046_2	-168.833	5.659
S_0046_4	-194.463	-43.062
S_0158_4	-122.672	119.68
S_0075_3	-181.26	10.705
S_0075_2	-167.85	95.55
S_0075_1	-184.073	3.965
S_0075_4	-183.425	-38.312
S_0079	-188.833	8.765
S_0132_3	-187.979	-45.868
S_0078	-87.259	220.247
S_0158_1	-187.711	-32.156
S_0132_2	-191.279	-23.676
S_0173	-170.05	19.609
S_0194	-176.266	-23.011
S_0158_3	-183.934	-56.864
S_0158_2	-166.714	14.33
S_0176_4	-141.372	116.842
S_0176_1	-172.095	4.657
S_0176	-192.188	-14.683
S_0176_3	-191.958	-36.216
S_0176_2	-195.656	-12.49
S_0183_3	-200.8	-37.894
S_0174_3	-165.06	76.294
S_0110_1	-163.083	27.575
S_0174_1	-144.279	48.637
S_0114_2	-164.222	7.736
S_0110_3	-183.691	63.365
S_0118_1	-171.388	22.481
S_0118_3	-198.182	-39.661
S_0110_2	-190.398	-25.372
S_0118_4	-191.68	-37.034
S_0130_2	-144.653	124.752
S_0073_1	-181.971	4.266
S_0036_1	-192.965	-55.335
S_0036_2	-178.8	-11.792
S_0036_3	-176.683	11.779
S_0044_3	-193.778	-25.759
S_0044_2	-181.697	54.266
S_0044_1	-171.132	97.437
S_0110_4	-192.47	0.785
S_0148_2	-178.515	51.975
S_0167_4	-168.463	27.853
S_0155	-191.596	-12.116
S_0034_4	-152.956	97.794
S_0071_4	-156.064	79.351
S_0034_2	-187.314	-40.095
S_0034_3	-179.568	118.492
S_0071_1	-177.006	1.291
S_0034_1	-160.221	0.739
S_0048_3	-176.355	42.926
S_0048_2	-178.76	-22.141
S_0048_1	-145.827	175.171
S_0130_4	-193.053	-30.985
S_0114_1	-182.184	-17.169
S_0114_3	-143.233	104.963
S_0048_4	-129.268	123.95
S_0116_3	-161.526	13.924
S_0116_2	-194.507	-13.824
S_0116_1	-124.101	158.472
S_0116_4	-170.534	-7.718
S_0165	-188.316	91.697
S_0187_4	-190.641	-52.618
S_0186_1	-177.337	21.374
S_0193	-157.71	201.047
S_0200_4	-171.762	-24.542
S_0032_4	-187.564	-40.833
S_0187_2	-149.197	70.462
S_0148_1	-125.918	90.332
S_0032_1	-149.893	85.615
S_0032_2	-164.795	47.564
S_0032_3	-188.953	-11.029
S_0146_1	-193.198	-52.324
S_0030_2	-177.478	45.832
S_0030_3	-156.429	17.413
S_0030_1	-176.954	-7.515
S_0146_2	-186.023	25.077
S_0030_4	-178.255	55.41
S_0038_2	-161.96	56.071
S_0038_3	-194.981	-20.775
S_0172	-172.054	-18.028
S_0038_1	-183.763	5.474
S_0174	-164.389	134.478
S_0175	-179.645	-12.642
S_0038_4	-192.9	-38.17
S_0177	-189.958	-7.162
S_0071	-190.066	-50.376
S_0070	-191.248	-42.502
S_0073	-196.065	-44.746
S_0072	-175.759	14.104
S_0075	-183.23	-5.596
S_0074	-193.95	-48.533
S_0077	-113.923	156.045
S_0076	-188.799	-23.436
S_0105_3	-182.46	-10.93
S_0125_1	-176.098	-10.874
S_0125_3	-169.213	50.709
S_0125_2	-185.183	27.344
S_0166	-189.491	-37.751
S_0157_2	-198.809	-66.471
S_0105_1	-117.415	122.977
S_0157_3	-176.706	11.688
S_0127_3	-161.385	20.767
S_0127_2	-172.086	6.536
S_0127_1	-192.791	-49.194
S_0112_4	-185.94	-6.453
S_0112_3	-165.98	11.748
S_0112_2	-159.525	40.68
S_0112_1	-191.382	-47.087
S_0127_4	-143.621	91.185
S_0157_1	-163.742	-0.682
S_0010_4	-182.529	5.167
S_0121_3	-185.454	1.728
S_0121_2	-181.508	45.549
S_0010_1	-187.437	-29.519
S_0010_2	-184.713	-12.028
S_0010_3	-179.151	54.116
S_0117_2	-130.996	103.391
S_0148_4	-169.017	-19.367
S_0149_2	-185.561	-21.062
S_0118_2	-185.585	-19.954
S_0080_4	-162.909	30.62
S_0080_3	-90.229	172.378
S_0080_2	-174.084	-14.846
S_0080_1	-177.597	12.653
S_0121_1	-180.372	-21.003
S_0189_1	-190.333	34.507
S_0018_4	-187.936	-19.118
S_0149	-97.305	182.99
S_0018_1	-192.267	-48.073
S_0018_2	-151.518	162.108
S_0018_3	-142.321	92.252
S_0153_2	-184.225	-28.292
S_0153_3	-146.614	99.677
S_0153_1	-155.882	83.616
S_0153_4	-184.564	-13.868
S_0121_4	-193.575	-41.008
S_0012_2	-190.322	-30.18
S_0012_3	-145.849	87.489
S_0012_1	-185.045	-47.107
S_0159_2	-176.404	1.084
S_0012_4	-179.825	32.987
S_0150_4	-168.152	103.565
S_0173_1	-171.357	-16.15
S_0173_2	-127.245	150.007
S_0088_4	-193.825	-34.586
S_0088_3	-190.201	16.197
S_0088_2	-183.68	16.346
S_0088_1	-159.48	12.049
S_0014_1	-144.712	102.983
S_0014_2	-186.289	-46.266
S_0014_3	-187.979	-19.744
S_0014_4	-146.88	74.683
S_0043_4	-189.636	1.905
S_0086_4	-153.89	21.036
S_0086_1	-163.911	16.352
S_0043_1	-157.878	100.656
S_0043_2	-196.78	-34.123
S_0043_3	-181.252	-11.904
S_0078_4	-56.44	330.313
S_0078_2	-166.735	-25.091
S_0078_3	-128.063	140.05
S_0078_1	-195.999	-31.497
S_0041_2	-177.679	32.795
S_0041_3	-178.072	33.389
S_0016_4	-164.071	33.906
S_0041_1	-178.263	-10.588
S_0016_2	-146.219	99.055
S_0016_3	-192.178	-55.84
S_0041_4	-148.916	59.918
S_0016_1	-187.226	-40.313
S_0076_4	-177.855	11.178
S_0076_1	-175.004	-19.955
S_0076_2	-175.266	88.53
S_0076_3	-168.405	-12.097
S_0082_1	-158.279	91.296
S_0047_1	-175.652	-3.629
