tag	rms_TM	score
S_0003_4	8.408	1.438
S_0162	4.547	-36.173
S_0161	9.028	-9.33
S_0160	10.038	-40.426
S_0119	10.868	-43.02
S_0146_3	7.904	7.041
S_0100_2	8.446	8.398
S_0122_2	9.768	-1.618
S_0001_4	14.595	82.685
S_0001_2	10.191	45.017
S_0001_3	6.825	23.037
S_0001_1	8.242	-17.775
S_0178	8.384	33.186
S_0159_3	15.197	42.319
S_0178_3	7.092	13.621
S_0174_2	9.63	-4.175
S_0123	9.389	34.575
S_0146_4	15.545	87.033
S_0113	7.171	10.361
S_0122_3	15.22	107.349
S_0123_4	8.214	-14.447
S_0179	7.598	8.834
S_0123_3	14.695	69.515
S_0178_2	14.974	75.186
S_0123_2	7.332	-6.94
S_0101_4	5.031	-17.992
S_0123_1	3.896	-37.169
S_0101_3	12.964	78.509
S_0115	8.557	11.748
S_0101_2	5.946	-25.132
S_0101_1	8.528	40.9
S_0007_4	10.465	-11.217
S_0007_1	8.314	36.107
S_0007_2	10.004	-4.233
S_0007_3	5.856	-29.435
S_0044	4.605	-44.006
S_0045	11.582	73.722
S_0046	11.225	21.432
S_0047	9.829	8.959
S_0040	11.636	130.479
S_0041	9.288	0.368
S_0042	15.002	72.684
S_0043	18.112	96.864
S_0005_2	7.069	-8.93
S_0005_3	3.292	-29.66
S_0005_1	4.53	-40.026
S_0048	7.527	-14.939
S_0049	4.686	-37.977
S_0005_4	6.216	0.971
S_0024_1	4.055	-23.789
S_0187_1	8.048	16.216
S_0187_3	9.97	-11.028
S_0148_3	8.391	103.667
S_0069_1	13.044	115.602
S_0069_2	5.358	22.986
S_0069_3	10.137	44.605
S_0069_4	5.582	23.86
S_0185_3	8.28	-27.129
S_0185_2	4.549	-42.519
S_0185_1	4.277	-69.62
S_0024_2	8.468	1.187
S_0122	6.823	-15.999
S_0185_4	5.348	-49.767
S_0138_4	14.364	57.159
S_0183_1	12.537	124.572
S_0159_1	4.154	-36.661
S_0144_4	10.405	37.018
S_0183_2	7.764	16.436
S_0144_2	9.342	-25.29
S_0144_3	5.169	-49.379
S_0144_1	8.842	96.281
S_0009_4	10.149	0.89
S_0009_2	10.22	-3.185
S_0009_3	5.199	-18.032
S_0009_1	9.402	23.553
S_0065_4	10.057	40.159
S_0065_1	15.892	118.941
S_0065_2	8.683	31.004
S_0065_3	8.921	-6.54
S_0086_2	7.896	1.05
S_0181_3	5.998	8.743
S_0181_2	5.166	-12.87
S_0181_1	6.173	56.052
S_0155_1	6.204	-39.411
S_0188_4	6.228	8.254
S_0188_2	17.125	116.225
S_0171_4	4.302	-67.824
S_0188_1	17.846	182.809
S_0171_2	14.796	47.989
S_0147	10.163	24.533
S_0171_3	6.977	0.92
S_0155_2	11.607	77.454
S_0142_4	14.069	88.981
S_0171_1	4.532	-28.04
S_0142_1	6.164	-34.896
S_0142_2	5.67	11.01
S_0142_3	4.679	-36.741
S_0155_3	10.312	44.134
S_0084_3	12.12	23.723
S_0084_2	13.435	38.888
S_0140_2	9.952	24.148
S_0140_3	6.674	-2.029
S_0140_1	15.308	76.432
S_0084_1	4.942	-49.87
S_0140_4	7.385	2.161
S_0067_2	7.888	-2.165
S_0067_3	10.05	32.395
S_0024_3	7.761	-15.59
S_0067_1	10.036	-8.728
S_0024_4	17.067	111.01
S_0067_4	8.662	115.846
S_0124	10.605	47.517
S_0129_3	9.879	169.645
S_0061_1	8.44	28.183
S_0061_2	6.697	14.501
S_0061_3	10.716	34.084
S_0061_4	8.216	-26.122
S_0197_1	6.516	-66.118
S_0148	8.679	2.191
S_0054_4	10.366	-8.957
S_0026_4	14.587	94.273
S_0026_3	5.141	-28.881
S_0054_1	16.733	77.95
S_0026_1	15.02	111.45
S_0054_3	9.143	24.089
S_0155_4	12.418	119.332
S_0129_2	6.777	-10.448
S_0056_2	8.213	3.7
S_0056_3	10.374	13.698
S_0063_4	10.633	33.385
S_0056_1	10.903	19.005
S_0063_2	11.871	14.336
S_0063_3	13.499	66.432
S_0056_4	5.251	-30.816
S_0063_1	17.337	111.876
S_0160_4	9.23	52.8
S_0054_2	8.48	42.665
S_0134_4	7.572	-24.022
S_0160_3	17.153	81.244
S_0050_1	6.803	8.431
S_0050_2	4.374	-49.904
S_0050_3	4.662	-10.529
S_0050_4	7.313	-6.704
S_0156	6.657	24.127
S_0058_1	4.006	-4.207
S_0058_2	4.345	-27.299
S_0058_3	10.551	-42.455
S_0058_4	9.386	33.704
S_0153	10.337	38.034
S_0019	8.285	3.221
S_0018	5.332	-17.444
S_0017	14.463	41.158
S_0016	10.191	6.18
S_0015	5.31	-39.909
S_0014	4.102	-21.79
S_0013	7.022	-21.609
S_0012	15.643	71.767
S_0011	7.995	79.91
S_0010	5.824	4.818
S_0129_1	7.594	17.63
S_0082_3	6.052	25.582
S_0020_4	5.783	10.579
S_0082_2	17.1	78.882
S_0020_1	7.766	72.182
S_0020_3	5.128	-26.965
S_0020_2	19.173	137.457
S_0168_4	7.84	42.999
S_0122_4	7.946	50.551
S_0168_2	5.134	-29.436
S_0129_4	9.19	40.645
S_0022_3	9.725	-7.498
S_0022_2	8.804	29.012
S_0022_1	7.143	70.735
S_0120	10.242	-17.578
S_0127	8.759	66.195
S_0126	10.084	-18.218
S_0125	5.769	-24.196
S_0028_4	15.476	111.048
S_0080	6.687	33.218
S_0081	15.702	106.97
S_0082	3.912	-35.689
S_0083	7.401	3.692
S_0084	8.802	-5.17
S_0085	14.347	120.648
S_0086	7.571	-1.696
S_0087	9.914	-8.738
S_0002_1	5.766	-2.224
S_0162_3	5.739	-10.038
S_0002_3	16.517	117.337
S_0002_2	4.219	-42.918
S_0002_4	17.023	100.577
S_0162_4	10.457	-2.815
S_0200_3	15.595	106.301
S_0028_1	11.411	108.476
S_0122_1	5.542	-42.031
S_0099_1	5.866	2.711
S_0099_3	7.101	17.358
S_0099_2	9.865	18.385
S_0164_1	9.951	31.007
S_0052_4	10.22	49.05
S_0164_3	7.894	-21.159
S_0052_2	8.235	-0.652
S_0052_3	8.317	16.148
S_0052_1	5.383	11.895
S_0133_4	12.038	56.946
S_0028_2	7.163	-42.014
S_0133_1	15.885	79.809
S_0133_2	13.675	118.405
S_0133_3	8.434	0.867
S_0108_4	8.046	19.937
S_0108_2	18.004	135.054
S_0108_3	6.999	-2.764
S_0108_1	7.282	-14.525
S_0131_2	15.996	77.379
S_0131_3	7.498	29.403
S_0166_4	6.748	-9.933
S_0131_1	7.094	41.771
S_0134_2	8.622	1.906
S_0166_3	6.85	-31.456
S_0131_4	11.118	8.802
S_0166_1	8.802	-8.928
S_0106_4	8.388	62.461
S_0106_1	5.44	48.153
S_0106_2	16.06	73.104
S_0106_3	10.08	16.233
S_0137_1	10.588	25.708
S_0137_2	9.955	-11.566
S_0137_3	6.19	-6.663
S_0137_4	7.346	-10.437
S_0160_1	17.252	93.076
S_0091_4	14.117	64.693
S_0091_1	8.768	4.332
S_0160_2	6.105	-21.879
S_0091_3	11.153	15.89
S_0091_2	10.036	-0.541
S_0134_1	7.918	39.801
S_0174_4	15.55	112.857
S_0093_3	6.462	27.301
S_0093_2	17.051	108.45
S_0093_1	7.975	-19.279
S_0093_4	7.398	-4.569
S_0095_1	12.385	71.516
S_0006_4	7.601	-10.948
S_0095_3	9.298	6.691
S_0095_2	16.33	85.943
S_0006_1	10.127	9.05
S_0095_4	9.651	175.795
S_0006_3	4.459	-24.211
S_0006_2	11.042	22.354
S_0004_3	11.48	20.988
S_0004_2	9.449	62.139
S_0004_1	6.737	-31.712
S_0004_4	7.216	-27.161
S_0097_4	11.895	29.311
S_0097_3	5.695	-7.746
S_0097_2	7.364	-40.834
S_0097_1	8.363	4.565
S_0068_1	5.319	-13.019
S_0104_3	10.611	-6.492
S_0068_3	7.882	70.503
S_0068_2	10.699	16.657
S_0068_4	5.54	-14.246
S_0104_4	7.017	8.933
S_0157	10.379	35.485
S_0154	7.201	4.948
S_0102_1	3.206	-37.184
S_0102_2	18.029	126.812
S_0102_3	4.99	-20.128
S_0102_4	7.773	9.722
S_0135_3	7.069	-1.616
S_0135_1	11.182	-5.433
S_0152	8.983	4.12
S_0145_4	7.505	-23.125
S_0145_3	10.566	83.004
S_0145_2	5.993	5.463
S_0145_1	5.438	-2.736
S_0008_4	10.868	-6.992
S_0008_3	7.012	20.154
S_0008_2	7.843	18.366
S_0008_1	5.045	-20.101
S_0064_4	6.637	-2.215
S_0100_4	4.247	-43.51
S_0151	6.766	-27.632
S_0064_1	4.76	-6.59
S_0100_3	6.207	12.212
S_0064_3	8.425	6.388
S_0064_2	4.634	-32.279
S_0139_2	14.307	77.784
S_0139_3	11.292	23.548
S_0139_1	7.707	31.491
S_0139_4	10.504	3.813
S_0066_3	13.998	75.645
S_0066_2	10.969	-21.426
S_0066_1	8.991	-27.183
S_0073_3	11.403	10.184
S_0066_4	10.673	-0.335
S_0118	8.433	-14.145
S_0044_4	8.67	17.836
S_0112	7.686	-11.263
S_0036_4	6.816	-3.336
S_0110	10.754	12.821
S_0111	10.189	143.656
S_0116	3.811	-31.372
S_0117	10.014	-3.167
S_0114	7.904	37.378
S_0073_4	10.161	60.443
S_0158	7.797	-26.493
S_0159	5.212	6.54
S_0143_4	7.898	-34.631
S_0143_1	19.187	129.47
S_0143_3	6.711	-7.13
S_0143_2	9.055	21.219
S_0141_3	4.973	-31.621
S_0141_2	14.758	130.448
S_0141_1	3.823	-15.481
S_0141_4	8.556	-9.141
S_0026	8.622	7.167
S_0027	12.447	98.074
S_0024	7.134	-18.802
S_0025	10.912	102.643
S_0022	11.222	33.252
S_0023	8.324	-60.717
S_0020	15.952	80.081
S_0021	8.781	-13.259
S_0060_1	9.07	-22.671
S_0060_3	7.215	19.482
S_0060_2	7.053	28.368
S_0060_4	10.385	-51.996
S_0028	7.292	-19.015
S_0029	12.392	65.932
S_0055_4	4.032	-33.063
S_0055_1	7.048	4.535
S_0055_3	8.172	9.37
S_0055_2	9.224	46.678
S_0057_3	6.136	30.396
S_0057_2	16.883	74.962
S_0057_1	9.929	47.634
S_0062_4	13.71	144.169
S_0062_3	11.128	56.61
S_0062_2	7.951	19.974
S_0062_1	8.127	24.31
S_0057_4	11.323	11.916
S_0161_4	8.079	27.497
S_0161_1	7.74	12.216
S_0051	8.589	17.778
S_0161_3	10.47	24.357
S_0161_2	4.233	-42.803
S_0051_1	7.664	24.947
S_0052	8.603	-24.226
S_0051_3	7.478	7.072
S_0050	8.107	22.144
S_0057	10.795	15.295
S_0051_4	6.739	-7.202
S_0055	6.524	25.156
S_0054	6.543	-5.539
S_0163_3	8.746	-2.193
S_0163_2	8.528	20.911
S_0059	14.935	84.31
S_0058	11.304	-3.295
S_0151_3	4.726	-36.399
S_0056	7.885	22.354
S_0194_4	3.969	19.817
S_0164	19.7	193.999
S_0194_1	3.523	-40.352
S_0194_3	9.787	73.567
S_0194_2	6.998	27.461
S_0163	4.851	-56.783
S_0196_3	6.844	-3.202
S_0196_2	15.404	86.463
S_0196_1	9.935	32.327
S_0178_4	7.678	16.916
S_0196_4	7.09	1.921
S_0051_2	10.12	36.198
S_0163_1	5.501	-22.444
S_0071_2	7.452	0.666
S_0190_1	16.538	161.637
S_0169_4	12.821	78.975
S_0190_3	7.539	-24.65
S_0190_2	5.614	-21.735
S_0169_1	12.924	88.25
S_0178_1	8.093	28.817
S_0169_3	5.114	-32.637
S_0150_1	16.737	99.082
S_0164_4	15.955	83.949
S_0114_4	8.826	-1.259
S_0163_4	11.838	47.652
S_0192_3	7.428	-35.838
S_0192_2	6.131	86.384
S_0192_1	16.384	94.773
S_0195	10.215	1.582
S_0096_4	11.381	80.033
S_0096_2	10.784	20.983
S_0096_3	15.55	171.697
S_0096_1	7.11	17.103
S_0165_1	10.32	3.65
S_0165_3	9.13	7.894
S_0053_4	10.904	17.576
S_0053_3	5.088	-51.122
S_0053_2	6.717	-21.249
S_0053_1	6.005	15.751
S_0168_1	7.132	53.507
S_0098_4	8.34	6.028
S_0132_4	5.283	-28.855
S_0132_1	7.968	5.345
S_0098_1	10.607	35.19
S_0098_2	4.073	-44.067
S_0098_3	9.447	38.488
S_0028_3	10.491	-17.608
S_0109_4	8.877	-3.897
S_0109_3	4.825	-24.888
S_0109_2	10.542	1.166
S_0109_1	4.029	-61.587
S_0130_3	7.995	29.716
S_0088	7.136	93.515
S_0130_1	7.475	-21.528
S_0150_3	10.558	111.974
S_0167_3	4.515	-36.753
S_0167_2	14.509	76.128
S_0167_1	8.397	-4.728
S_0089	17.04	85.727
S_0107_4	11.757	37.93
S_0107_1	15.255	152.577
S_0121	5.072	7.031
S_0107_3	11.459	59.515
S_0107_2	6.341	-23.621
S_0136_1	14.952	109.296
S_0136_3	5.473	-37.852
S_0136_2	2.617	-23.374
S_0136_4	11.276	6.834
S_0059_1	14.097	103.369
S_0105_2	17.11	127.637
S_0059_3	9.648	15.216
S_0059_2	7.571	174.309
S_0059_4	7.572	-35.989
S_0105_4	8.934	-7.175
S_0150_2	11.005	21.198
S_0173_3	9.643	69.094
S_0090_4	5.736	-28.919
S_0022_4	7.293	-6.392
S_0090_1	9.349	-11.858
S_0090_2	10.95	81.852
S_0090_3	7.457	28.864
S_0092_2	12.419	50.472
S_0092_3	10.583	10.56
S_0092_1	7.075	-10.134
S_0129	6.236	2.027
S_0092_4	15.297	60.305
S_0128	11.28	18.137
S_0173_4	16.198	112.363
S_0094_1	6.571	-33.964
S_0094_2	6.686	-15.152
S_0094_3	12.992	55.947
S_0094_4	9.77	-13.271
S_0072_2	9.864	-1.386
S_0172_1	6.373	19.808
S_0199_1	4.503	-35.286
S_0199_2	18.234	196.21
S_0199_3	5.181	-17.975
S_0199_4	8.205	-35.589
S_0072_4	10.35	88.732
S_0145	6.836	20.936
S_0144	3.085	-33.318
S_0068	7.887	-11.713
S_0069	8.236	18.682
S_0141	8.467	6.001
S_0140	6.343	-21.933
S_0143	9.878	12.14
S_0142	14.726	78.857
S_0062	11.856	33.897
S_0063	19.048	152.246
S_0060	16.885	100.369
S_0061	8.236	-7.75
S_0066	8.275	-7.513
S_0067	7.396	-29.132
S_0064	4.868	-22.827
S_0065	6.894	52.506
S_0084_4	10.772	-7.171
S_0162_1	6.912	-6.7
S_0097	7.109	-4.226
S_0096	3.437	-39.923
S_0095	4.299	-21.586
S_0094	15.205	82.251
S_0093	10.476	0.328
S_0092	10.538	48.842
S_0091	10.677	56.847
S_0090	13.505	108.748
S_0138_3	9.906	58.564
S_0138_2	15.605	127.497
S_0138_1	4.192	-36.99
S_0071_3	12.574	63.925
S_0099	5.55	39.407
S_0098	8.493	51.615
S_0099_4	9.347	43.494
S_0191_1	5.178	31.097
S_0037_1	7.804	-24.66
S_0037_3	14.799	77.176
S_0037_2	8.51	38.333
S_0037_4	7.41	-2.807
S_0146	9.138	101.924
S_0182	7.461	57.235
S_0035_4	5.949	30.921
S_0035_3	9.972	23.783
S_0035_2	8.28	-1.163
S_0035_1	4.029	11.886
S_0190_4	3.463	-38.419
S_0115_4	5.115	45.31
S_0169_2	4.602	-3.399
S_0164_2	8.512	-9.531
S_0039_3	10.571	31.11
S_0039_2	10.524	21.691
S_0039_1	7.358	4.159
S_0179_4	10.74	76.473
S_0039_4	9.316	147.523
S_0193_4	15.028	93.352
S_0193_2	7.227	-9.642
S_0193_3	10.628	41.293
S_0193_1	8.498	18.23
S_0179_2	4.17	-47.431
S_0179_3	9.594	-20.419
S_0191_4	9.524	36.678
S_0186_4	4.493	57.723
S_0168_3	14.81	67.222
S_0179_1	9.208	16.216
S_0154_4	7.523	-3.113
S_0033_4	10.3	24.628
S_0033_1	8.664	61.135
S_0033_3	14.107	115.269
S_0033_2	7.876	-18.94
S_0150	11.886	27.677
S_0165_2	4.235	-61.469
S_0031_3	3.557	-50.088
S_0031_2	8.039	49.061
S_0031_1	6.042	-1.627
S_0031_4	8.93	-6.3
S_0154_1	10.198	12.312
S_0154_3	7.085	20.601
S_0154_2	6.091	-17.131
S_0115_2	7.132	1.921
S_0195_4	5.523	-23.53
S_0195_1	7.321	-12.902
S_0195_2	10.913	5.428
S_0195_3	6.889	7.665
S_0197_2	8.844	24.703
S_0197_3	10.965	79.073
S_0147_1	4.384	-53.908
S_0156_4	9.636	-38.471
S_0156_3	7.494	-5.45
S_0156_2	15.11	117.585
S_0156_1	17.359	87.106
S_0192_4	10.554	-13.081
S_0011_4	10.505	11.507
S_0191_2	8.572	12.043
S_0191_3	14.717	96.287
S_0011_1	6.334	-14.191
S_0011_3	9.03	21.717
S_0011_2	13.193	59.103
S_0013_3	10.054	34.437
S_0013_2	9.269	93.614
S_0013_1	2.776	-45.069
S_0013_4	10.102	-59.792
S_0109	7.571	-30.973
S_0108	6.639	97.339
S_0101	10.5	-11.133
S_0100	7.415	-15.949
S_0103	8.763	6.603
S_0102	9.966	50.309
S_0105	7.979	-34.936
S_0104	7.039	2.901
S_0107	12.655	60.587
S_0106	10.236	40.696
S_0192	6.727	-2.595
S_0019_4	10.749	48.282
S_0190	9.685	28.525
S_0191	10.074	29.98
S_0019_1	10.597	-17.234
S_0197	8.7	105.641
S_0019_3	4.502	-14.361
S_0019_2	10.249	-6.408
S_0198	14.553	97.915
S_0199	4.748	27.738
S_0152_3	8.666	-5.181
S_0152_2	18.08	115.961
S_0152_1	10.784	9.273
S_0200_2	5.181	12.317
S_0147_2	7.399	-22.875
S_0157_4	5.929	-22.367
S_0135_4	17.683	130.259
S_0152_4	17.598	94.082
S_0035	5.623	2.596
S_0034	14.403	74.429
S_0037	10.155	-0.319
S_0036	5.084	16.841
S_0031	12.741	66.776
S_0030	4.02	-22.926
S_0033	8.022	7.356
S_0032	9.351	47.205
S_0015_1	10.188	19.583
S_0015_3	7.388	-9.09
S_0015_2	7.072	3.501
S_0039	15.894	98.727
S_0015_4	13.51	137.382
S_0165_4	7.93	-10.532
S_0042_4	6.365	0.78
S_0042_1	8.222	12.709
S_0042_3	14.659	72.354
S_0042_2	6.836	9.975
S_0079_4	5.982	24.045
S_0079_3	9.52	10.437
S_0079_2	8.94	-22.918
S_0079_1	7.74	-9.291
S_0040_3	7.229	-3.955
S_0040_2	5.107	-46.788
S_0040_1	5.738	-27.618
S_0017_4	9.375	22.672
S_0017_3	7.593	54.85
S_0017_2	14.985	91.26
S_0017_1	7.416	-9.825
S_0040_4	9.474	60.522
S_0198_1	17.053	98.321
S_0077_4	3.804	-43.32
S_0198_3	10.977	11.853
S_0198_2	7.544	11.107
S_0077_1	7.772	18.97
S_0198_4	18.424	196.011
S_0077_3	5.193	-3.271
S_0077_2	8.847	-4.07
S_0046_1	8.148	15.814
S_0046_3	8.377	43.204
S_0046_2	8.32	5.659
S_0046_4	5.293	-43.062
S_0158_4	17.231	119.68
S_0075_3	7.126	10.705
S_0075_2	6.427	95.55
S_0075_1	10.417	3.965
S_0075_4	4.578	-38.312
S_0079	10.784	8.765
S_0132_3	3.777	-45.868
S_0078	18.218	220.247
S_0158_1	5.413	-32.156
S_0132_2	3.27	-23.676
S_0173	10.514	19.609
S_0194	7.314	-23.011
S_0158_3	7.725	-56.864
S_0158_2	7.603	14.33
S_0176_4	14.408	116.842
S_0176_1	7.753	4.657
S_0176	4.906	-14.683
S_0176_3	4.391	-36.216
S_0176_2	9.418	-12.49
S_0183_3	3.967	-37.894
S_0174_3	15.341	76.294
S_0110_1	9.807	27.575
S_0174_1	9.449	48.637
S_0114_2	11.004	7.736
S_0110_3	10.166	63.365
S_0118_1	8.995	22.481
S_0118_3	3.957	-39.661
S_0110_2	6.214	-25.372
S_0118_4	3.231	-37.034
S_0130_2	16.826	124.752
S_0073_1	10.005	4.266
S_0036_1	3.787	-55.335
S_0036_2	8.274	-11.792
S_0036_3	9.182	11.779
S_0044_3	6.082	-25.759
S_0044_2	14.753	54.266
S_0044_1	11.398	97.437
S_0110_4	4.877	0.785
S_0148_2	10.147	51.975
S_0167_4	7.398	27.853
S_0155	10.475	-12.116
S_0034_4	15.462	97.794
S_0071_4	13.877	79.351
S_0034_2	4.09	-40.095
S_0034_3	10.759	118.492
S_0071_1	8.184	1.291
S_0034_1	8.634	0.739
S_0048_3	11.042	42.926
S_0048_2	5.547	-22.141
S_0048_1	12.638	175.171
S_0130_4	4.135	-30.985
S_0114_1	10.579	-17.169
S_0114_3	16.391	104.963
S_0048_4	12.876	123.95
S_0116_3	8.43	13.924
S_0116_2	4.764	-13.824
S_0116_1	14.215	158.472
S_0116_4	7.863	-7.718
S_0165	9.891	91.697
S_0187_4	5.361	-52.618
S_0186_1	11.16	21.374
S_0193	15.459	201.047
S_0200_4	4.29	-24.542
S_0032_4	4.153	-40.833
S_0187_2	15.03	70.462
S_0148_1	14.643	90.332
S_0032_1	15.821	85.615
S_0032_2	7.206	47.564
S_0032_3	6.094	-11.029
S_0146_1	4.701	-52.324
S_0030_2	11.224	45.832
S_0030_3	7.755	17.413
S_0030_1	6.558	-7.515
S_0146_2	10.4	25.077
S_0030_4	11.057	55.41
S_0038_2	12.07	56.071
S_0038_3	4.423	-20.775
S_0172	6.585	-18.028
S_0038_1	6.644	5.474
S_0174	15.38	134.478
S_0175	8.373	-12.642
S_0038_4	3.614	-38.17
S_0177	5.713	-7.162
S_0071	4.794	-50.376
S_0070	3.194	-42.502
S_0073	3.792	-44.746
S_0072	9.579	14.104
S_0075	6.015	-5.596
S_0074	3.701	-48.533
S_0077	17.928	156.045
S_0076	5.692	-23.436
S_0105_3	7.811	-10.93
S_0125_1	7.774	-10.874
S_0125_3	9.388	50.709
S_0125_2	10.311	27.344
S_0166	4.155	-37.751
S_0157_2	4.249	-66.471
S_0105_1	15.642	122.977
S_0157_3	11.319	11.688
S_0127_3	8.547	20.767
S_0127_2	10.852	6.536
S_0127_1	7.104	-49.194
S_0112_4	4.869	-6.453
S_0112_3	7.793	11.748
S_0112_2	9.463	40.68
S_0112_1	4.427	-47.087
S_0127_4	15.087	91.185
S_0157_1	7.465	-0.682
S_0010_4	8.406	5.167
S_0121_3	5.05	1.728
S_0121_2	6.489	45.549
S_0010_1	9.807	-29.519
S_0010_2	6.525	-12.028
S_0010_3	7.253	54.116
S_0117_2	14.834	103.391
S_0148_4	4.878	-19.367
S_0149_2	5.065	-21.062
S_0118_2	7.22	-19.954
S_0080_4	6.831	30.62
S_0080_3	15.645	172.378
S_0080_2	5.827	-14.846
S_0080_1	4.354	12.653
S_0121_1	6.007	-21.003
S_0189_1	6.068	34.507
S_0018_4	6.153	-19.118
S_0149	19.009	182.99
S_0018_1	7.57	-48.073
S_0018_2	12.4	162.108
S_0018_3	15.421	92.252
S_0153_2	5.428	-28.292
S_0153_3	14.756	99.677
S_0153_1	15.271	83.616
S_0153_4	6.432	-13.868
S_0121_4	4.777	-41.008
S_0012_2	4.51	-30.18
S_0012_3	17.118	87.489
S_0012_1	6.809	-47.107
S_0159_2	7.264	1.084
S_0012_4	12.257	32.987
S_0150_4	12.443	103.565
S_0173_1	7.152	-16.15
S_0173_2	19.352	150.007
S_0088_4	3.213	-34.586
S_0088_3	7.997	16.197
S_0088_2	11.892	16.346
S_0088_1	8.213	12.049
S_0014_1	17.082	102.983
S_0014_2	4.391	-46.266
S_0014_3	10.84	-19.744
S_0014_4	15.889	74.683
S_0043_4	10.608	1.905
S_0086_4	9.572	21.036
S_0086_1	7.129	16.352
S_0043_1	14.961	100.656
S_0043_2	3.716	-34.123
S_0043_3	9.566	-11.904
S_0078_4	17.058	330.313
S_0078_2	8.909	-25.091
S_0078_3	11.321	140.05
S_0078_1	4.092	-31.497
S_0041_2	11.382	32.795
S_0041_3	12.894	33.389
S_0016_4	9.587	33.906
S_0041_1	4.894	-10.588
S_0016_2	15.487	99.055
S_0016_3	3.061	-55.84
S_0041_4	10.002	59.918
S_0016_1	5.735	-40.313
S_0076_4	6.591	11.178
S_0076_1	8.078	-19.955
S_0076_2	8.862	88.53
S_0076_3	6.845	-12.097
S_0082_1	10.941	91.296
S_0047_1	5.777	-3.629
S_0047_2	7.083	83.157
S_0047_3	8.566	30.059
S_0047_4	7.14	4.839
S_0082_4	6.176	30.713
S_0104_2	10.276	103.121
S_0147_3	7.458	-5.782
S_0104_1	4.301	-1.607
S_0188_3	10.104	-8.089
S_0147_4	5.541	-7.368
S_0200_1	7.031	-11.371
S_0177_4	5.743	-6.329
S_0177_1	8.476	-2.989
S_0177_2	10.482	78.726
S_0177_3	10.374	5.414
S_0175_2	9.204	9.185
S_0175_3	10.664	48.179
S_0175_1	8.065	-19.374
S_0149_4	4.505	-26.609
S_0175_4	5.686	-21.136
S_0166_2	4.924	-37.048
S_0074_2	9.441	8.593
S_0074_3	7.556	-11.751
S_0180_4	7.5	42.599
S_0074_1	10.361	-3.271
S_0180_2	13.721	98.227
S_0180_3	7.343	20.268
S_0074_4	5.58	22.946
S_0180_1	10.729	32.262
S_0119_1	8.158	41.337
S_0119_2	10.346	-18.194
S_0119_3	9.556	19.843
S_0119_4	8.212	37.247
S_0072_1	8.356	25.365
S_0045_4	9.615	20.581
S_0072_3	10.718	36.708
S_0045_2	7.797	-15.057
S_0045_3	7.02	-5.674
S_0045_1	10.332	-3.425
S_0189_4	8.913	3.308
S_0181	6.823	-0.651
S_0180	8.05	-13.037
S_0183	3.409	-46.708
S_0181_4	8.98	-26.375
S_0185	4.827	-34.953
S_0184	16.388	68.258
S_0187	4.893	-46.906
S_0186	9.664	14.822
S_0189	6.493	-36.092
S_0188	4.754	-41.31
S_0070_4	7.273	33.598
S_0070_2	6.805	120.959
S_0070_3	8.318	42.56
S_0070_1	7.287	-18.789
S_0049_2	5.529	21.477
S_0049_3	7.553	-14.88
S_0049_1	11.1	-20.19
S_0115_1	15.569	96.579
S_0049_4	6.591	-2.004
