score	atom_pair_constraint	rms_TM_low	description
24696.511	-133.793	17.754	S_0021_4_0001
-207.336	-190.479	11.712	S_0022_0001
-186.931	-170.662	6.689	S_0022_1_0001
-193.456	-152.154	9.280	S_0022_2_0001
-219.350	-180.787	9.663	S_0022_3_0001
-238.909	-192.027	7.634	S_0022_4_0001
-266.842	-181.966	8.163	S_0023_0001
-252.518	-186.635	3.168	S_0023_1_0001
-242.680	-187.603	5.698	S_0023_2_0001
-131.555	-140.921	15.382	S_0023_3_0001
24712.593	-124.397	15.484	S_0023_4_0001
-233.149	-178.662	7.918	S_0024_0001
-239.187	-189.520	4.094	S_0024_1_0001
-230.331	-166.023	8.745	S_0024_2_0001
-212.748	-185.716	8.198	S_0024_3_0001
24688.496	-139.578	17.153	S_0024_4_0001
-185.803	-138.775	12.236	S_0025_0001
-262.082	-196.503	3.735	S_0025_1_0001
-257.266	-182.278	7.706	S_0025_2_0001
-207.943	-177.499	8.496	S_0025_3_0001
-229.387	-190.298	3.324	S_0025_4_0001
-229.811	-187.316	7.988	S_0026_0001
24730.754	-141.171	14.911	S_0026_1_0001
-244.748	-190.894	7.414	S_0026_2_0001
-230.338	-192.621	3.619	S_0026_3_0001
-140.834	-147.398	14.734	S_0026_4_0001
24690.423	-127.904	12.850	S_0027_0001
-134.147	-134.401	17.385	S_0027_1_0001
-237.421	-171.772	8.175	S_0027_2_0001
-245.428	-184.498	7.955	S_0027_3_0001
-189.605	-161.297	8.993	S_0027_4_0001
-253.290	-182.326	6.775	S_0028_0001
24678.632	-153.437	11.203	S_0028_1_0001
-251.926	-168.173	8.157	S_0028_2_0001
-213.143	-176.962	9.018	S_0028_3_0001
-145.954	-150.453	15.454	S_0028_4_0001
-178.793	-155.353	12.404	S_0029_0001
-227.412	-180.706	8.347	S_0029_1_0001
-246.192	-178.801	8.337	S_0029_2_0001
-226.938	-166.405	6.142	S_0029_3_0001
-151.262	-132.823	12.576	S_0029_4_0001
-238.746	-185.244	4.132	S_0030_0001
-241.054	-176.954	6.875	S_0030_1_0001
-216.207	-177.478	11.949	S_0030_2_0001
-194.201	-156.429	7.888	S_0030_3_0001
-206.351	-178.255	11.617	S_0030_4_0001
-172.703	-136.394	12.887	S_0031_0001
-228.190	-166.611	6.098	S_0031_1_0001
-202.176	-170.554	9.451	S_0031_2_0001
-254.024	-198.876	3.468	S_0031_3_0001
-228.098	-180.550	8.852	S_0031_4_0001
-181.306	-157.160	10.297	S_0032_0001
24696.270	-149.893	16.140	S_0032_1_0001
-198.411	-164.795	7.854	S_0032_2_0001
-243.395	-188.953	7.278	S_0032_3_0001
-254.822	-187.564	3.951	S_0032_4_0001
-233.319	-189.357	8.413	S_0033_0001
-167.853	-181.237	7.644	S_0033_1_0001
-230.345	-179.379	8.622	S_0033_2_0001
24700.970	-151.587	13.758	S_0033_3_0001
-209.769	-183.680	8.789	S_0033_4_0001
-151.168	-156.780	13.926	S_0034_0001
-220.465	-160.221	9.315	S_0034_1_0001
-256.644	-187.314	3.396	S_0034_2_0001
-208.149	-179.568	11.512	S_0034_3_0001
24693.602	-152.956	15.401	S_0034_4_0001
-212.003	-162.712	6.935	S_0035_0001
-202.124	-182.131	4.703	S_0035_1_0001
-229.706	-161.423	8.894	S_0035_2_0001
-200.042	-149.729	10.283	S_0035_3_0001
-228.197	-171.785	5.282	S_0035_4_0001
-221.060	-178.713	5.231	S_0036_0001
-249.703	-192.965	3.703	S_0036_1_0001
-234.035	-178.800	8.608	S_0036_2_0001
-217.993	-176.683	8.438	S_0036_3_0001
-242.423	-187.256	7.178	S_0036_4_0001
-204.040	-166.963	10.414	S_0037_0001
-229.738	-169.358	8.374	S_0037_1_0001
-195.040	-171.811	8.830	S_0037_2_0001
-160.525	-156.408	14.725	S_0037_3_0001
-222.487	-196.368	6.945	S_0037_4_0001
-256.684	-198.845	3.952	S_0038_0001
-241.647	-183.763	6.988	S_0038_1_0001
-174.786	-161.960	11.519	S_0038_2_0001
-237.707	-194.981	3.070	S_0038_3_0001
-256.287	-192.900	4.417	S_0038_4_0001
24699.726	-148.372	15.984	S_0039_0001
-229.281	-181.297	8.309	S_0039_1_0001
-223.717	-169.861	11.167	S_0039_2_0001
-198.167	-169.153	9.194	S_0039_3_0001
24696.558	-167.608	10.147	S_0039_4_0001
24732.429	-115.665	10.984	S_0040_0001
-251.115	-188.875	5.331	S_0040_1_0001
-242.946	-191.900	5.330	S_0040_2_0001
-228.057	-156.617	7.577	S_0040_3_0001
-208.056	-168.584	9.024	S_0040_4_0001
-241.663	-192.670	9.301	S_0041_0001
-238.381	-178.263	5.052	S_0041_1_0001
-210.958	-177.679	10.257	S_0041_2_0001
-210.932	-178.072	13.450	S_0041_3_0001
-174.850	-148.916	10.988	S_0041_4_0001
24669.770	-159.205	15.094	S_0042_0001
-214.109	-157.407	8.715	S_0042_1_0001
-206.354	-187.805	5.378	S_0042_2_0001
-142.574	-147.663	14.891	S_0042_3_0001
-258.018	-196.764	6.777	S_0042_4_0001
24676.971	-150.454	18.467	S_0043_0001
24690.819	-157.878	14.960	S_0043_1_0001
-253.339	-196.780	4.188	S_0043_2_0001
-247.504	-181.252	9.521	S_0043_3_0001
-222.309	-189.636	11.951	S_0043_4_0001
-255.746	-191.704	3.381	S_0044_0001
-172.719	-171.132	11.745	S_0044_1_0001
24673.183	-181.697	13.464	S_0044_2_0001
-219.386	-193.778	5.933	S_0044_3_0001
-200.813	-148.401	8.742	S_0044_4_0001
-192.658	-173.084	11.865	S_0045_0001
-230.181	-180.877	9.051	S_0045_1_0001
-242.049	-181.695	7.087	S_0045_2_0001
-238.034	-168.993	8.138	S_0045_3_0001
-207.713	-185.812	8.550	S_0045_4_0001
-227.730	-178.593	10.448	S_0046_0001
-237.055	-169.094	8.662	S_0046_1_0001
-225.996	-168.833	8.056	S_0046_2_0001
-185.469	-159.023	8.343	S_0046_3_0001
-256.667	-194.463	5.151	S_0046_4_0001
-207.735	-179.654	9.012	S_0047_0001
-229.262	-175.652	4.795	S_0047_1_0001
-213.255	-177.745	5.768	S_0047_2_0001
-216.150	-173.419	9.498	S_0047_3_0001
-225.416	-177.397	7.618	S_0047_4_0001
-240.625	-174.661	8.345	S_0048_0001
24698.830	-145.827	11.577	S_0048_1_0001
-215.919	-178.760	5.595	S_0048_2_0001
-195.076	-176.355	12.204	S_0048_3_0001
24691.185	-129.268	13.950	S_0048_4_0001
-264.843	-199.269	4.372	S_0049_0001
-240.904	-188.029	9.739	S_0049_1_0001
-214.992	-187.188	5.959	S_0049_2_0001
-227.525	-183.917	8.025	S_0049_3_0001
-235.450	-191.509	7.020	S_0049_4_0001
-224.605	-183.646	8.740	S_0050_0001
-221.819	-171.384	6.654	S_0050_1_0001
-250.247	-194.955	4.580	S_0050_2_0001
-243.665	-178.246	5.949	S_0050_3_0001
-217.872	-190.306	7.081	S_0050_4_0001
-233.334	-181.311	8.296	S_0051_0001
-205.965	-179.993	7.862	S_0051_1_0001
24654.042	-156.249	10.033	S_0051_2_0001
-230.696	-162.638	9.157	S_0051_3_0001
-236.143	-181.270	7.765	S_0051_4_0001
-228.642	-179.448	8.663	S_0052_0001
-209.303	-181.873	7.065	S_0052_1_0001
-243.673	-194.990	8.090	S_0052_2_0001
-226.131	-186.243	7.986	S_0052_3_0001
24673.609	-167.116	9.445	S_0052_4_0001
-223.410	-174.953	7.782	S_0053_0001
-213.995	-175.001	7.660	S_0053_1_0001
-227.240	-177.882	7.892	S_0053_2_0001
-247.148	-178.969	5.118	S_0053_3_0001
-228.918	-182.281	9.640	S_0053_4_0001
-237.141	-178.898	6.835	S_0054_0001
-137.741	-149.218	16.637	S_0054_1_0001
-217.828	-170.231	9.079	S_0054_2_0001
-232.350	-167.414	9.486	S_0054_3_0001
-215.933	-184.525	10.358	S_0054_4_0001
-198.168	-185.878	6.495	S_0055_0001
-227.580	-182.594	6.786	S_0055_1_0001
-196.017	-154.322	8.772	S_0055_2_0001
-196.131	-174.892	7.769	S_0055_3_0001
-251.355	-189.172	5.888	S_0055_4_0001
-215.864	-172.434	9.058	S_0056_0001
-216.123	-188.446	9.866	S_0056_1_0001
-222.757	-182.216	8.710	S_0056_2_0001
-191.062	-186.841	11.015	S_0056_3_0001
-253.871	-192.870	5.365	S_0056_4_0001
-212.659	-170.904	10.111	S_0057_0001
-238.018	-186.697	10.716	S_0057_1_0001
24688.942	-141.460	17.009	S_0057_2_0001
-209.766	-186.757	7.062	S_0057_3_0001
-224.050	-181.613	11.749	S_0057_4_0001
-232.311	-184.826	10.730	S_0058_0001
-263.221	-180.801	4.028	S_0058_1_0001
-256.821	-186.242	4.944	S_0058_2_0001
-241.818	-193.315	9.649	S_0058_3_0001
-196.060	-144.254	9.893	S_0058_4_0001
24678.615	-144.106	14.905	S_0059_0001
24686.312	-123.491	14.538	S_0059_1_0001
-153.037	-148.140	7.357	S_0059_2_0001
-214.136	-180.469	9.660	S_0059_3_0001
-249.824	-190.724	7.889	S_0059_4_0001
24694.345	-145.271	16.824	S_0060_0001
-245.585	-185.440	10.165	S_0060_1_0001
-198.455	-176.556	6.826	S_0060_2_0001
-220.809	-175.059	7.215	S_0060_3_0001
-253.871	-199.421	8.912	S_0060_4_0001
-235.341	-173.124	8.495	S_0061_0001
24652.950	-171.852	8.398	S_0061_1_0001
-219.976	-183.781	6.808	S_0061_2_0001
-205.463	-177.649	11.836	S_0061_3_0001
-231.329	-179.374	8.815	S_0061_4_0001
-204.308	-184.072	10.417	S_0062_0001
-197.108	-157.103	8.656	S_0062_1_0001
-206.627	-150.237	8.826	S_0062_2_0001
-197.064	-170.432	11.276	S_0062_3_0001
24698.370	-142.253	13.899	S_0062_4_0001
-90.088	-126.803	19.165	S_0063_0001
24705.978	-144.757	17.565	S_0063_1_0001
-226.676	-185.904	10.223	S_0063_2_0001
24669.606	-147.887	13.827	S_0063_3_0001
-214.428	-162.035	10.159	S_0063_4_0001
-236.699	-184.798	3.854	S_0064_0001
-224.518	-188.610	3.222	S_0064_1_0001
-234.914	-190.937	5.007	S_0064_2_0001
-214.760	-164.450	8.984	S_0064_3_0001
-235.126	-178.459	6.857	S_0064_4_0001
-194.463	-166.144	6.921	S_0065_0001
24680.308	-151.029	15.941	S_0065_1_0001
-214.296	-164.185	9.411	S_0065_2_0001
-229.036	-167.570	9.114	S_0065_3_0001
-218.467	-173.311	9.318	S_0065_4_0001
-232.179	-169.379	8.882	S_0066_0001
-246.869	-186.799	8.618	S_0066_1_0001
-229.585	-184.426	10.026	S_0066_2_0001
-158.723	-153.696	13.904	S_0066_3_0001
-214.885	-160.453	10.128	S_0066_4_0001
-232.846	-182.924	8.007	S_0067_0001
-244.763	-197.420	10.126	S_0067_1_0001
-236.356	-177.787	8.558	S_0067_2_0001
-219.208	-178.569	10.121	S_0067_3_0001
-185.444	-159.471	8.005	S_0067_4_0001
-235.099	-165.746	8.647	S_0068_0001
-251.943	-194.862	5.489	S_0068_1_0001
-209.807	-165.173	11.265	S_0068_2_0001
24654.012	-169.245	6.861	S_0068_3_0001
-244.999	-173.890	4.035	S_0068_4_0001
-209.533	-164.032	8.679	S_0069_0001
24686.008	-185.291	12.960	S_0069_1_0001
-212.517	-178.395	5.734	S_0069_2_0001
24660.361	-167.250	10.339	S_0069_3_0001
-210.285	-190.038	5.020	S_0069_4_0001
-256.151	-191.248	4.041	S_0070_0001
-239.654	-188.988	7.738	S_0070_1_0001
-202.116	-194.222	6.762	S_0070_2_0001
-217.109	-179.609	9.356	S_0070_3_0001
-201.284	-178.005	6.930	S_0070_4_0001
-241.181	-190.066	4.874	S_0071_0001
-223.544	-177.006	8.700	S_0071_1_0001
-218.134	-164.579	8.265	S_0071_2_0001
-146.650	-146.539	12.321	S_0071_3_0001
24667.432	-156.064	13.734	S_0071_4_0001
-189.131	-175.759	10.419	S_0072_0001
-215.462	-179.111	8.986	S_0072_1_0001
-225.278	-188.810	10.907	S_0072_2_0001
-232.793	-185.309	9.922	S_0072_3_0001
-193.073	-151.104	10.491	S_0072_4_0001
-253.524	-196.065	4.915	S_0073_0001
-219.526	-181.971	9.326	S_0073_1_0001
-125.304	-153.604	17.397	S_0073_2_0001
-216.842	-182.705	10.886	S_0073_3_0001
-198.567	-172.607	10.960	S_0073_4_0001
-246.325	-193.950	4.170	S_0074_0001
-226.008	-173.750	11.550	S_0074_1_0001
-203.683	-169.894	10.530	S_0074_2_0001
-221.165	-174.051	8.004	S_0074_3_0001
-226.443	-194.081	5.861	S_0074_4_0001
-236.489	-183.230	5.194	S_0075_0001
-207.274	-184.073	10.167	S_0075_1_0001
-177.988	-167.850	6.292	S_0075_2_0001
-193.237	-181.260	8.026	S_0075_3_0001
-236.655	-183.425	3.369	S_0075_4_0001
-237.722	-188.799	6.338	S_0076_0001
-229.845	-175.004	8.212	S_0076_1_0001
-201.591	-175.266	9.771	S_0076_2_0001
-220.003	-168.405	8.062	S_0076_3_0001
-212.492	-177.855	7.068	S_0076_4_0001
-104.396	-113.923	18.083	S_0077_0001
-228.641	-173.353	7.416	S_0077_1_0001
-244.506	-175.096	7.757	S_0077_2_0001
-246.542	-179.326	3.887	S_0077_3_0001
-268.470	-196.149	3.438	S_0077_4_0001
24749.121	-87.259	17.792	S_0078_0001
-248.485	-195.999	4.238	S_0078_1_0001
-226.807	-166.735	8.575	S_0078_2_0001
24713.986	-128.063	11.788	S_0078_3_0001
24796.455	-56.440	16.752	S_0078_4_0001
-227.327	-188.833	10.875	S_0079_0001
-230.572	-168.614	9.283	S_0079_1_0001
-218.497	-168.074	8.868	S_0079_2_0001
-199.208	-167.677	10.145	S_0079_3_0001
-218.325	-179.810	4.913	S_0079_4_0001
-220.779	-173.173	6.926	S_0080_0001
-236.645	-177.597	5.918	S_0080_1_0001
-208.357	-174.084	6.698	S_0080_2_0001
24754.598	-90.229	15.899	S_0080_3_0001
-205.585	-162.909	6.969	S_0080_4_0001
-163.894	-139.046	15.966	S_0081_0001
-234.586	-172.471	7.988	S_0081_1_0001
-230.574	-182.102	8.981	S_0081_2_0001
-196.786	-158.209	8.570	S_0081_3_0001
-172.550	-147.462	13.800	S_0081_4_0001
-244.962	-199.054	5.481	S_0082_0001
-153.767	-158.279	12.251	S_0082_1_0001
24687.964	-162.786	16.948	S_0082_2_0001
-211.481	-174.707	5.237	S_0082_3_0001
-206.345	-165.190	8.275	S_0082_4_0001
-250.228	-187.779	8.489	S_0083_0001
-197.961	-153.929	11.739	S_0083_1_0001
24696.593	-150.877	16.716	S_0083_2_0001
24711.571	-147.280	18.435	S_0083_3_0001
24703.364	-129.550	13.650	S_0083_4_0001
-221.845	-172.770	8.883	S_0084_0001
-255.964	-192.908	5.643	S_0084_1_0001
-187.525	-173.061	13.928	S_0084_2_0001
-202.743	-179.496	11.710	S_0084_3_0001
-223.737	-184.865	9.834	S_0084_4_0001
-148.611	-135.667	14.796	S_0085_0001
-217.016	-168.687	5.317	S_0085_1_0001
-206.537	-173.912	7.774	S_0085_2_0001
-200.324	-178.479	9.415	S_0085_3_0001
24682.182	-156.995	14.598	S_0085_4_0001
-232.254	-178.907	8.376	S_0086_0001
-206.307	-163.911	7.114	S_0086_1_0001
-238.878	-173.507	8.565	S_0086_2_0001
-232.127	-176.827	5.951	S_0086_3_0001
-211.745	-153.890	10.136	S_0086_4_0001
-231.900	-167.636	10.825	S_0087_0001
-208.239	-163.566	8.375	S_0087_1_0001
-242.748	-184.334	6.896	S_0087_2_0001
24706.343	-137.478	15.989	S_0087_3_0001
-231.253	-170.769	8.192	S_0087_4_0001
-164.068	-153.203	7.885	S_0088_0001
-194.257	-159.480	7.828	S_0088_1_0001
-221.113	-183.680	10.861	S_0088_2_0001
-213.594	-190.201	8.483	S_0088_3_0001
-241.658	-193.825	4.672	S_0088_4_0001
-176.098	-144.485	17.242	S_0089_0001
-204.544	-162.585	8.756	S_0089_1_0001
24731.273	-110.385	17.693	S_0089_2_0001
-223.771	-148.543	8.968	S_0089_3_0001
-245.432	-172.025	8.533	S_0089_4_0001
24707.054	-135.198	14.361	S_0090_0001
-237.293	-190.477	8.271	S_0090_1_0001
-153.683	-162.086	11.239	S_0090_2_0001
-215.465	-190.652	8.284	S_0090_3_0001
-259.593	-186.732	4.747	S_0090_4_0001
-225.797	-173.007	9.969	S_0091_0001
-215.014	-167.162	8.857	S_0091_1_0001
-213.746	-181.332	8.746	S_0091_2_0001
-220.075	-172.360	10.883	S_0091_3_0001
-146.165	-144.636	14.116	S_0091_4_0001
-210.878	-165.168	10.885	S_0092_0001
-227.119	-168.829	7.932	S_0092_1_0001
-189.994	-175.286	11.638	S_0092_2_0001
-214.379	-168.846	9.246	S_0092_3_0001
-166.253	-145.246	14.961	S_0092_4_0001
-217.449	-190.654	10.003	S_0093_0001
-246.105	-167.900	7.978	S_0093_1_0001
-114.331	-150.863	17.154	S_0093_2_0001
-218.167	-180.127	4.457	S_0093_3_0001
-211.841	-166.516	8.276	S_0093_4_0001
-167.365	-141.247	15.099	S_0094_0001
-248.723	-184.115	7.068	S_0094_1_0001
-248.072	-174.024	7.269	S_0094_2_0001
-176.207	-156.642	13.155	S_0094_3_0001
-236.116	-196.616	9.070	S_0094_4_0001
-249.089	-174.033	6.406	S_0095_0001
24672.076	-163.153	11.125	S_0095_1_0001
24679.054	-152.671	15.871	S_0095_2_0001
-222.919	-167.877	9.233	S_0095_3_0001
-90.712	-129.607	9.431	S_0095_4_0001
-245.171	-184.028	4.698	S_0096_0001
-219.231	-182.024	7.041	S_0096_1_0001
24657.980	-174.755	10.224	S_0096_2_0001
24719.020	-143.523	15.132	S_0096_3_0001
24682.906	-153.762	11.680	S_0096_4_0001
-249.270	-180.282	7.775	S_0097_0001
-235.623	-172.648	7.969	S_0097_1_0001
-248.736	-183.893	8.097	S_0097_2_0001
-250.570	-191.014	3.202	S_0097_3_0001
-222.252	-179.298	12.357	S_0097_4_0001
-200.482	-175.216	9.176	S_0098_0001
-173.790	-164.221	9.219	S_0098_1_0001
-255.160	-179.909	3.343	S_0098_2_0001
-215.639	-194.472	9.725	S_0098_3_0001
-205.780	-169.096	8.041	S_0098_4_0001
-218.420	-180.723	5.047	S_0099_0001
-242.461	-195.882	5.656	S_0099_1_0001
-206.831	-181.024	11.061	S_0099_2_0001
-216.799	-178.965	6.507	S_0099_3_0001
-200.062	-162.469	9.355	S_0099_4_0001
-231.026	-180.204	7.665	S_0100_0001
-220.318	-180.071	8.768	S_0100_1_0001
-220.292	-192.777	8.996	S_0100_2_0001
-220.461	-170.262	6.025	S_0100_3_0001
-235.844	-186.713	3.972	S_0100_4_0001
-236.793	-190.907	9.150	S_0101_0001
-197.574	-153.890	9.091	S_0101_1_0001
-241.719	-190.323	6.364	S_0101_2_0001
-137.366	-143.366	13.819	S_0101_3_0001
-234.404	-182.953	5.325	S_0101_4_0001
-195.136	-153.839	10.541	S_0102_0001
-246.446	-190.806	4.756	S_0102_1_0001
24700.250	-147.493	17.607	S_0102_2_0001
-238.742	-186.216	4.157	S_0102_3_0001
-229.389	-173.344	8.291	S_0102_4_0001
-216.558	-159.789	9.001	S_0103_0001
-223.330	-182.637	6.949	S_0103_1_0001
-250.943	-190.430	6.362	S_0103_2_0001
-200.750	-154.282	8.882	S_0103_3_0001
-223.987	-191.518	10.302	S_0103_4_0001
-243.537	-184.506	6.956	S_0104_0001
-233.307	-173.188	5.290	S_0104_1_0001
24684.109	-141.961	12.095	S_0104_2_0001
-238.804	-187.326	10.916	S_0104_3_0001
-232.941	-180.183	7.042	S_0104_4_0001
-257.237	-175.018	8.129	S_0105_0001
-81.061	-117.415	14.645	S_0105_1_0001
-95.322	-139.061	16.777	S_0105_2_0001
-235.099	-182.460	8.264	S_0105_3_0001
-244.355	-178.615	9.164	S_0105_4_0001
-213.442	-183.033	10.943	S_0106_0001
-193.520	-167.720	5.090	S_0106_1_0001
24682.455	-149.997	16.284	S_0106_2_0001
-214.848	-163.784	10.575	S_0106_3_0001
-204.647	-163.961	8.831	S_0106_4_0001
-208.026	-189.360	12.987	S_0107_0001
24702.938	-156.476	15.004	S_0107_1_0001
-252.636	-193.595	7.655	S_0107_2_0001
-176.295	-158.766	11.699	S_0107_3_0001
-180.875	-170.545	11.531	S_0107_4_0001
-220.464	-188.636	6.756	S_0108_0001
-235.668	-168.196	8.550	S_0108_1_0001
24708.663	-141.574	17.590	S_0108_2_0001
-242.978	-169.954	7.437	S_0108_3_0001
-218.036	-190.722	8.566	S_0108_4_0001
-252.646	-181.386	8.205	S_0109_0001
-263.866	-194.191	3.775	S_0109_1_0001
-215.440	-184.410	11.092	S_0109_2_0001
-236.243	-181.683	3.639	S_0109_3_0001
-222.939	-163.256	8.977	S_0109_4_0001
-221.186	-155.836	10.444	S_0110_0001
-203.589	-163.083	10.134	S_0110_1_0001
-242.718	-190.398	6.485	S_0110_2_0001
-189.853	-183.691	9.428	S_0110_3_0001
-243.494	-192.470	4.244	S_0110_4_0001
-187.582	-152.702	11.450	S_0111_0001
-199.785	-179.614	6.087	S_0111_1_0001
-245.862	-174.104	7.410	S_0111_2_0001
-260.209	-190.748	4.356	S_0111_3_0001
-235.986	-179.618	8.530	S_0111_4_0001
-226.233	-178.697	8.406	S_0112_0001
-242.971	-191.382	4.989	S_0112_1_0001
-203.720	-159.525	9.287	S_0112_2_0001
-223.704	-165.980	8.249	S_0112_3_0001
-246.016	-185.940	5.545	S_0112_4_0001
-227.108	-182.099	6.653	S_0113_0001
-240.511	-181.645	3.490	S_0113_1_0001
24723.588	-128.473	17.979	S_0113_2_0001
-236.230	-179.707	8.175	S_0113_3_0001
-216.588	-156.590	7.129	S_0113_4_0001
-222.298	-177.303	7.877	S_0114_0001
-230.091	-182.184	11.050	S_0114_1_0001
-222.295	-164.222	10.618	S_0114_2_0001
-127.401	-143.233	16.517	S_0114_3_0001
-224.982	-182.269	9.086	S_0114_4_0001
-204.546	-159.547	9.271	S_0115_0001
-139.158	-157.248	15.464	S_0115_1_0001
-235.975	-180.077	8.122	S_0115_2_0001
-234.782	-185.960	7.833	S_0115_3_0001
-243.036	-197.149	5.386	S_0115_4_0001
-245.371	-188.973	5.401	S_0116_0001
24698.211	-124.101	14.863	S_0116_1_0001
-229.210	-194.507	4.749	S_0116_2_0001
-225.430	-161.526	8.009	S_0116_3_0001
-209.453	-170.534	7.447	S_0116_4_0001
-230.968	-182.693	9.629	S_0117_0001
-244.896	-173.347	5.667	S_0117_1_0001
24705.614	-130.996	14.613	S_0117_2_0001
-162.525	-153.500	15.719	S_0117_3_0001
-227.215	-185.029	8.552	S_0117_4_0001
-225.635	-181.993	8.614	S_0118_0001
-210.893	-171.388	8.779	S_0118_1_0001
-254.402	-185.585	7.841	S_0118_2_0001
-260.357	-198.182	3.722	S_0118_3_0001
-256.835	-191.680	4.935	S_0118_4_0001
-251.969	-193.080	9.713	S_0119_0001
